id,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22
9,Querétaro,Queretaro,LD,0,3,Si,iOS,Mac,23/01/02,Mujer,152,41.5,cada 15 dias,Act-II (microondas),"Caramelo, Mantequilla, Con chile, Queso, con takis",25,Muy bien,50,10,5,4
13,Monterrey,Monterrey,LED,2,3,Si,iOS,Mac,24/08/01,Mujer,169,56,a veces cada mes,Palomitas de cine,Caramelo,60,Regular,50,10,3,2
65,Monterrey,Monterrey,INA,1,2,Si,iOS,Mac,24/02/02,Hombre,172,73,a veces cada mes,Palomitas de cine,"Caramelo, Mantequilla, Con chile, Queso",70,Nada,50,10,5,5
11,Aguascalientes,Monterrey,IQ,1,3,Si,iOS,Mac,23/02/02,Mujer,153,50,a veces cada mes,Palomitas de cine,"Caramelo, Mantequilla, Con chile, Queso",40,Bien,55,10,4,2
36,Guadalajara,Guadalajara,IIS,1,5 o más,Si,iOS,Windows,18/07/02,Hombre,180,77,a veces cada mes,Palomitas de cine,"Mantequilla, Con chile, Queso, Takis",50,Regular,60,15,4,3
42,Mazatlán,Monterrey,IDM,2,5 o más,Si,Android,Windows,07/05/01,Hombre,181,72,a veces cada mes,Act-II (microondas),"Caramelo, Mantequilla, Con chile, Queso",60,Regular,40,20,5,3
73,Edo Mex,Estado de México,IMT,2,3,Si,iOS,Windows,02/01/02,Hombre,180,74,a veces cada mes,Palomitas de cine,"Mantequilla, Queso",25,Regular,70,50,4,3
74,Monterrey,Monterrey,LAET,2,1,Si,iOS,Mac,09/11/00,Hombre,184,99,a veces cada mes,Act-II (microondas),"Caramelo, Mantequilla, Con chile, Queso",50,Nada,50,1,4,3
45,Chihuahua,Guadalajara,Animación y arte digital,1,4,Si,iOS,Mac,03/08/02,Mujer,159,55,a veces cada mes,Palomitas de cine,"Caramelo, Mantequilla, Con chile",50,Regular,25,1,5,4
59,monterrey,Monterrey,Ing Mecanico,2,5 o más,No,iOS,Windows,30/10/01,Hombre,176,76.2,dos veces a la semana,Palomitas de cine,"Mantequilla, Con chile",40,Regular,100,1.5,5,4
1,MTY,Monterrey,IE,0,2,Si,iOS,Mac,28/04/01,Hombre,168,80,a veces cada mes,Palomitas de cine,"Caramelo, Mantequilla",30,Nada,50,10,3,2
34,Ecuador,Estado de México,ISS,4,5 o más,Si,Android,Windows,19/11/00,Mujer,160,72,cada 15 dias,Palomitas de cine,"Caramelo, Mantequilla, Queso",60,Regular,50,12,4,4
38,"Atlacomulco, Estado de México",Queretaro,Ingeniería en alimentos,2,5 o más,Si,iOS,Mac,16/08/02,Mujer,157,53,cada 15 dias,Act-II (microondas),"Caramelo, Mantequilla, Con chile, Queso",20,Bien,4,3,4,3
35,Monterrey,Monterrey,IM,1,3,No,Android,Windows,10/07/01,Hombre,188,80,a veces cada mes,Palomitas de cine,"Caramelo, Mantequilla, Con chile",15,Regular,50,2,5,4
25,Monterrey,Monterrey,IBT,3,4,Si,iOS,Windows,23/02/02,Hombre,174,66,a veces cada mes,Palomitas de cine,"Caramelo, Mantequilla, Con chile, Queso",20,Nada,20,2,5,2
41,Hermosillo,Sonora Norte,IMT,1,4,Si,iOS,Windows,26/04/02,Hombre,180,65,a veces cada mes,Act-II (microondas),"Caramelo, Mantequilla, Con chile, Queso, Takis, Doritos, Chips",20,Muy bien,50,2,4,4
51,Mty,Monterrey,IDM,2,5 o más,No,iOS,Mac,26/10/01,Hombre,180,81,a veces cada mes,Palomitas de cine,"Caramelo, Mantequilla, Con chile",50,Nada,100,2,5,3
69,Edo. de Mexico,Estado de México,IM,1,2,Si,iOS,Windows,23/06/01,Hombre,180,65,a veces cada mes,Act-II (microondas),"Caramelo, Mantequilla, Con chile, Queso, sal",20,Regular,20,2,3,4
40,Ciudad de México,Ciudad de Mexico,BGB,2,5 o más,Si,iOS,Windows,06/02/98,Hombre,190,86,a veces cada mes,Act-II (microondas),"Mantequilla, Queso",30,Regular,50,2.5,5,5
44,"Cuautitlán Izcalli, Edomex.",Estado de México,IM,1,4,Si,Android,Windows,04/07/02,Hombre,178,61,a veces cada mes,Act-II (microondas),"Caramelo, Mantequilla, Con chile, Queso, Light y naturales",20,Muy bien,20,3,5,3
7,Toluca,Toluca,LCPF,2,5 o más,Si,iOS,Windows,17/01/02,Mujer,160,54,cada 15 dias,Palomitas de cine,"Caramelo, Mantequilla, Con chile, Queso",20,Regular,30,3,5,5
27,Monterrey,Monterrey,LAD,1,3,Si,iOS,Windows,02/02/02,Hombre,177,70,a veces cada mes,Act-II (microondas),"Caramelo, Mantequilla, Con chile, Queso",15,Regular,30,3,4,3
72,García ,Monterrey,IFI,1,4,No,Android,Windows,07/04/01,Hombre,173,57,a veces cada mes,Palomitas de cine,"Caramelo, Mantequilla",15,Regular,40,3,4,4
62,Monterrey,Monterrey,Comunciacion,5,3,Si,iOS,Mac,29/01/02,Mujer,165,61,a veces cada mes,Act-II (microondas),"Caramelo, Mantequilla, Queso",15,Regular,50,3,4,4
5,Chihuahua,Chihuahua,IIS,1,4,Si,Android,Mac,22/05/02,Hombre,178,62,a veces cada mes,Act-II (microondas),"Caramelo, Mantequilla, Con chile, Queso",17,Bien,40,3,5,4
21,Monterrey,Monterrey,IDS,3,5 o más,No,iOS,Mac,23/10/01,Hombre,170,68,cada 15 dias,Palomitas de cine,"Caramelo, Mantequilla, Con chile, Queso",49,Regular,80,3,5,3
6,Villahermosa,Monterrey,IQ,2,2,Si,Android,Windows,04/03/02,Mujer,158,68,a veces cada mes,Act-II (microondas),"Caramelo, Mantequilla, Con chile, Queso, con oreo",50,Nada,100,3,5,5
70,CDMX,Estado de México,IIS,4,5 o más,Si,iOS,Windows,15/12/01,Hombre,171,64,a veces cada mes,Palomitas de cine,"Caramelo, Mantequilla, Con chile, Queso",65,Muy bien,50,3,5,4
61,Cd. Madero,Tampico,LIN,2,4,Si,iOS,Mac,26/06/01,Mujer,160,57,a veces cada mes,Palomitas de cine,"Caramelo, Mantequilla, Con chile, Queso, DORITOS, TAKIS",70,Regular,80,5,5,3
33,Estado de México ,Estado de México,IMT,2,5 o más,Si,iOS,Windows,12/03/02,Hombre,180,70,cada 15 dias,Palomitas de cine,"Caramelo, Mantequilla, Con chile, Queso",70,Muy bien,100,5,5,4
48,Quito,Guadalajara,LPS,2,1,Si,Android,Windows,07/03/01,Hombre,173,55,a veces cada mes,Palomitas de cine,Mantequilla,50,Regular,5,5,5,5
37,Querétaro,Queretaro,IM,1,4,Si,Android,Windows,16/09/02,Mujer,154,51,a veces cada mes,Act-II (microondas),"Caramelo, Mantequilla, Con chile, Queso",20,Regular,20,5,5,5
