"","folio","...1","X","anyo","staff_t","tot_veh","can_ton","reg","base","compact","truck","pickup","o_veh","n_orgs","a_10","a_20","a_15plus","POBTOT","P60","hoteles","ingpc2015","est_trs"
"36",3002,18,18,2018,119,26,149,"pub",62,7,11,8,0,1,0.115384615384615,0.461538461538462,0.653846153846154,63042,0.100520288061927,73,34946.9049270792,0
"37",3003,19,19,2018,180,42,435,"pub",97,33,0,6,3,1,0.69047619047619,0.30952380952381,0.0714285714285714,284167,0.119412176642608,113,46750.1098760173,0
"38",3003,1873,19,2020,171,40,421,"pub",89,34,4,2,0,1,0.45,0.475,0.275,292241,0.127521463449687,113,46750.1098760173,0
"39",3008,20,20,2018,151,28,310,"pub",16,28,0,0,0,1,1,0,0,328583,0.0539985330951388,156,48285.5971858564,0
"40",3008,1874,20,2020,164,55,362.723,"pub",15,27,9,11,8,1,0.909090909090909,0.0909090909090909,0.0181818181818182,351111,0.0566629926148711,156,48285.5971858564,0
"41",3009,1875,21,2020,65,14,30,"pub",24,6,3,4,1,1,0.142857142857143,0.571428571428571,0.5,18052,0.113893197429648,39,40256.3238704518,0
"42",3009,21,21,2018,51,14,30,"pub",27,7,7,0,0,1,0.285714285714286,0.571428571428571,0.285714285714286,17786,0.105926009220735,39,40256.3238704518,0
"43",4001,1876,22,2020,15,4,17,"pub",6,3,0,1,0,1,1,0,0,59232,0.125692193408968,22,20271.8322775264,0
"44",4001,22,22,2018,17,4,17,"pub",4,2,0,1,1,1,1,0,0,57962,0.121976467340671,22,20271.8322775264,0
"45",4002,23,23,2018,238,33,233,"mixed",224,12,2,0,19,2,1,0,0,287061,0.120681666962771,102,33661.8371332486,0
"46",4002,1877,23,2020,70,10,220,"priv",60,10,0,0,0,1,1,0,0,294077,0.126908938815344,102,33661.8371332486,0
"47",4003,24,24,2018,194,12,318,"mixed",158,12,0,0,0,2,1,0,0,243294,0.0899981092834184,192,49468.6940473731,0
"48",4003,1878,24,2020,151,12,230,"mixed",132,8,2,2,0,2,0.5,0.5,0.333333333333333,248845,0.0956981253390665,192,49468.6940473731,0
"49",4004,1879,25,2020,32,4,23,"pub",22,4,0,0,0,1,1,0,0,78170,0.106856850454138,29,21418.1266480966,0
"50",4004,25,25,2018,30,8,23,"pub",21,4,0,4,0,1,0.75,0,0.25,79141,0.102525871545722,29,21418.1266480966,0
"51",4005,1880,26,2020,34,3,40,"pub",7,3,0,0,0,1,0.333333333333333,0.666666666666667,0.333333333333333,31917,0.114641100354043,4,21139.8481461497,0
"52",4005,26,26,2018,34,4,40,"pub",7,2,2,0,0,1,0,1,0,31194,0.111079053664166,4,21139.8481461497,0
"53",4006,1881,27,2020,10,2,8,"pub",1,0,2,0,0,1,1,0,0,42140,0.102776459420978,7,14459.3076989845,0
"54",4006,27,27,2018,10,1,24,"pub",1,0,0,1,0,1,1,0,0,41265,0.0999394159699503,7,14459.3076989845,0
"55",4007,28,28,2018,68,3,14,"pub",21,1,1,1,0,1,0.666666666666667,0.333333333333333,0,8616,0.129874651810585,7,18930.8500899974,0
"56",4007,1882,28,2020,8,2,9,"pub",1,2,0,0,0,1,1,0,0,8683,0.134055050097892,7,18930.8500899974,0
"57",4008,29,29,2018,6,2,7,"pub",1,1,0,0,1,1,1,0,0,11112,0.109161267098632,0,18802.7705235941,0
"58",4009,1883,29,2020,22,4,33,"pub",19,4,0,0,0,1,0.75,0.25,0,59923,0.0987100111810156,20,19552.5951474685,0
"59",4009,30,30,2018,23,3,33,"pub",22,3,0,0,0,1,1,0,0,58776,0.0945113651830679,20,19552.5951474685,0
"60",4010,1884,30,2020,13,2,10,"pub",1,0,2,0,0,1,1,0,0,31714,0.0807214479409724,18,15183.9180463576,0
"61",4010,31,31,2018,14,1,18,"pub",6,1,0,0,0,1,1,0,0,30746,0.0780589344955441,18,15183.9180463576,0
"62",4011,1885,31,2020,52,4,7.494,"pub",32,1,1,2,0,1,0.5,0,0.5,46913,0.102402319186579,13,15703.2660900265,0
"63",4011,32,32,2018,32,4,20,"pub",18,1,2,1,0,1,0.75,0,0.25,45770,0.0982302818440026,13,15703.2660900265,0
"64",5002,33,33,2018,59,16,135,"priv",51,12,2,2,0,1,0.25,0.75,0,157795,0.0695966285370259,20,27936.3487546729,0
