"","folio","staff_t","staff_p","base","n_orgs","p_priv","p_base","compact","truck","pickup","o_veh","a_10","a_20","large_v","p_comp","tot_veh","can_ton","bas_sep","sistema","pobtot2018","P60","hoteles","ingpc2015"
"1178","21072",15,0,0,1,0,0,0,1,0,0,0,1,1,0,1,15,"No","Casa",16801,0.158145348491161,5,8355.27236225742
"1179","21073",3,0,0,1,0,0,0,1,0,0,0,1,1,0,1,15,"No","Casa",9543,0.149009745363093,0,11918.4162508909
"1180","21074",27,0,26,1,0,0.962962962962963,8,0,2,0,0.5,0.5,0.8,0.8,10,80,"No","Cont/Casa",85329,0.0816721161621489,7,20652.9463203328
"1181","21075",3,0,0,1,0,0,1,0,0,0,0,1,1,1,1,4,"No","Casa",12836,0.0827360548457463,0,11086.174488568
"1182","21076",4,0,0,1,0,0,1,0,0,0,0,1,1,1,1,2,"No","Casa",27417,0.120983331509647,0,13527.8372459957
"1183","21077",2,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,"No","Cont/Casa",5910,0.122335025380711,0,8190.70186618116
"1184","21078",4,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,"No","Casa",15542,0.0843520782396088,0,8112.58820650844
"1185","21079",3,3,0,1,1,0,0,0,1,0,NA,NA,0,0,1,5,"No","Casa",5690,0.109841827768014,0,16610.3413972417
"1186","21080",5,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,"No","Casa",2673,0.188552188552189,0,7332.06426931905
"1187","21081",2,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0.714,"No","Casa",3991,0.178651966925583,0,9401.28971962617
"1188","21082",5,0,0,1,0,0,1,0,0,0,0,1,1,1,1,4,"No","Cont/Casa",8661,0.127237039602817,6,17313.3867595819
"1189","21083",11,0,0,1,0,0,2,0,0,0,0.5,0.5,1,1,2,4,"No","Casa",25318,0.147168022750612,0,9397.29668828952
"1190","21084",7,0,7,1,0,1,1,0,0,0,NA,NA,1,1,1,4,"No","Otra",6923,0.132745919399104,3,8348.26901874311
"1191","21085",26,0,26,1,0,1,6,5,0,1,0.166666666666667,0.5,0.916666666666667,0.5,12,72,"No","Otra",80807,0.128565594564827,30,19452.4480785972
"1192","21086",5,0,0,1,0,0,1,0,0,0,NA,NA,1,1,1,2,"No","Cont/Casa",12147,0.130567218243188,0,11303.882967033
"1193","21087",3,0,0,1,0,0,0,0,1,0,1,0,0,0,1,3,"No","Casa",13182,0.137384311940525,0,8854.08393551973
"1194","21088",3,0,0,1,0,0,1,0,1,0,0,1,0.5,0.5,2,1,"No","Otra",4486,0.162282657155595,3,11873.9814671815
"1195","21090",4,0,0,1,0,0,1,0,0,0,NA,NA,1,1,1,20,"No","Casa",22732,0.0891694527538272,0,20046.4931639054
