"","clave_mun","loc","id","SHPANIO","SREENTIDAD","SRETIPOEST","persmednom","persmedac","pers_otro","pers_para","camas_c","consultorios","quiro","procedq","consulta","dias","pmuj","CVE_ZM","servs","tot_servs","mshare","mshare2","hhi","POBTOT","urb","P60","ing_pc","type","staff","staff_ac","staff_otro","grande","chico","metro","centro","noroeste","norte","occidente","spec"
"18",2001,2.01,"2001 14 0435",2020,2,21,0,8,4,4,2,5,1,140,6989,537,0.851015801354402,2.01,7129,23716,30.0598751897453,903.596096423066,1909.39213480848,443807,0.900596430430345,0.120464526246769,5983.35824806729,"gen",8,1,0.5,0,1,0,0,1,0,0,0
"19",2001,2.01,"2001 16 0435",2020,2,21,0,10,13,17,10,6,3,669,0,1284,0.875440658049354,2.01,669,23716,2.82088041828302,7.95736633425256,1909.39213480848,443807,0.900596430430345,0.120464526246769,5983.35824806729,"gen",30,1,0.433333333333333,0,0,0,0,1,0,0,0
"20",2001,2.01,"2001 7 0435",2020,2,21,2,28,10,18,11,2,2,50,5030,6318,0.544025157232704,2.01,5080,23716,21.4201383032552,458.82232493058,1909.39213480848,443807,0.900596430430345,0.120464526246769,5983.35824806729,"gen",30,0.933333333333333,0.333333333333333,0,0,0,0,1,0,0,0
"21",2001,2.01,"2001 15 0435",2020,2,21,2,0,5,6,7,1,2,162,100,723,0.793063583815029,2.01,262,23716,1.10473941642773,1.22044917820908,1909.39213480848,443807,0.900596430430345,0.120464526246769,5983.35824806729,"gen",13,0,0.384615384615385,0,0,0,0,1,0,0,0
"22",2001,2.01,"2001 5 0577",2020,2,21,0,66,18,15,9,3,5,0,1715,1665,0.608219178082192,2.01,1715,23716,7.23140495867769,52.2932176763882,1909.39213480848,443807,0.900596430430345,0.120464526246769,5983.35824806729,"gen",33,1,0.545454545454545,0,0,0,0,1,0,0,0
"23",2001,2.01,"2001 3 1185",2020,2,21,2,13,8,14,19,4,3,580,0,4344,0.820166000614817,2.01,580,23716,2.44560634171024,5.98099037861333,1909.39213480848,443807,0.900596430430345,0.120464526246769,5983.35824806729,"gen",24,0.866666666666667,0.333333333333333,0,0,0,0,1,0,0,0
"24",2001,2.01,"2001 17 0435",2020,2,21,3,94,48,43,21,0,3,740,845,8940,0.47787610619469,2.01,1585,23716,6.68325181312194,44.6658547975977,1909.39213480848,443807,0.900596430430345,0.120464526246769,5983.35824806729,"gen",94,0.969072164948454,0.51063829787234,1,0,0,0,1,0,0,0
"25",2001,2.01,"2001 1 0577",2020,2,21,0,6,11,29,19,13,2,342,1996,6651,0.589579524680073,2.01,2338,23716,9.85832349468713,97.1865421259003,1909.39213480848,443807,0.900596430430345,0.120464526246769,5983.35824806729,"gen",40,1,0.275,0,0,0,0,1,0,0,0
"26",2002,2.02,"2002 9 0042",2020,2,21,1,18,7,7,7,2,1,456,2778,1032,0.608540925266904,2.02,3234,92970,3.47854146498871,12.1002507236458,1891.33135700935,1049792,0.920185141437542,0.117103197585807,8708.32634559989,"gen",15,0.947368421052632,0.466666666666667,0,0,0,0,1,0,0,0
"27",2002,2.02,"2002 25 0042",2020,2,21,6,100,112,176,33,4,4,1510,11362,23034,0.577749842866122,2.02,12872,92970,13.8453264493923,191.693064490241,1891.33135700935,1049792,0.920185141437542,0.117103197585807,8708.32634559989,"gen",294,0.943396226415094,0.380952380952381,1,0,0,0,1,0,0,0
"28",2002,2.02,"2002 22 0042",2020,2,21,6,6,18,15,8,1,2,412,450,1380,0.6,2.02,862,92970,0.927180811014306,0.859664256313146,1891.33135700935,1049792,0.920185141437542,0.117103197585807,8708.32634559989,"gen",39,0.5,0.461538461538462,0,0,0,0,1,0,0,0
