"","loc","clave_mun","id","SHPANIO","SREENTIDAD","SRETIPOEST","persmednom","persmedac","pers_otro","pers_para","camas_c","consultorios","quiro","procedq","consulta","dias","pmuj","servs","tot_servs","hhi","POBTOT","P60","urb","ing_pc","type","staff","staff_ac","staff_otro","grande","chico","metro","centro","noroeste","norte","west","spec"
"21",2.01,2001,"2001 7 0435",2020,2,21,2,28,10,18,11,2,2,50,5030,6318,0.544025157232704,5080,23716,1909.39213480848,443807,0.120464526246769,0.900596430430345,5983.35824806729,"gen",30,0.933333333333333,0.333333333333333,0,0,0,0,1,0,0,0
"22",2.01,2001,"2001 3 1185",2020,2,21,2,13,8,14,19,4,3,580,0,4344,0.820166000614817,580,23716,1909.39213480848,443807,0.120464526246769,0.900596430430345,5983.35824806729,"gen",24,0.866666666666667,0.333333333333333,0,0,0,0,1,0,0,0
"23",2.01,2001,"2001 17 0435",2020,2,21,3,94,48,43,21,0,3,740,845,8940,0.47787610619469,1585,23716,1909.39213480848,443807,0.120464526246769,0.900596430430345,5983.35824806729,"gen",94,0.969072164948454,0.51063829787234,1,0,0,0,1,0,0,0
"24",2.01,2001,"2001 16 0435",2020,2,21,0,10,13,17,10,6,3,669,0,1284,0.875440658049354,669,23716,1909.39213480848,443807,0.120464526246769,0.900596430430345,5983.35824806729,"gen",30,1,0.433333333333333,0,0,0,0,1,0,0,0
"25",2.01,2001,"2001 5 0577",2020,2,21,0,66,18,15,9,3,5,0,1715,1665,0.608219178082192,1715,23716,1909.39213480848,443807,0.120464526246769,0.900596430430345,5983.35824806729,"gen",33,1,0.545454545454545,0,0,0,0,1,0,0,0
"26",2.02,2002,"2002 10 0042",2020,2,21,0,16,8,11,10,3,1,273,2065,1203,0.806425702811245,2338,92970,1891.33135700935,1049792,0.117103197585807,0.920185141437542,8708.32634559989,"gen",19,1,0.421052631578947,0,0,0,0,1,0,0,0
"27",2.02,2002,"2002 5 0042",2020,2,21,1,4,13,15,14,3,2,1237,1910,19950,0.641985414496205,3147,92970,1891.33135700935,1049792,0.117103197585807,0.920185141437542,8708.32634559989,"gen",29,0.8,0.448275862068966,0,0,0,0,1,0,0,0
"28",2.02,2002,"2002 36 4238",2020,2,21,0,3,5,6,3,4,2,81,260,303,0.825503355704698,341,92970,1891.33135700935,1049792,0.117103197585807,0.920185141437542,8708.32634559989,"gen",11,1,0.454545454545455,0,1,0,0,1,0,0,0
"29",2.02,2002,"2002 22 0042",2020,2,21,6,6,18,15,8,1,2,412,450,1380,0.6,862,92970,1891.33135700935,1049792,0.117103197585807,0.920185141437542,8708.32634559989,"gen",39,0.5,0.461538461538462,0,0,0,0,1,0,0,0
"30",2.02,2002,"2002 39 0042",2020,2,21,0,2,0,2,2,2,1,9,543,627,0.435406698564593,552,92970,1891.33135700935,1049792,0.117103197585807,0.920185141437542,8708.32634559989,"gen",2,1,0,0,1,0,0,1,0,0,0
"31",2.02,2002,"2002 38 0042",2020,2,21,0,1,2,1,3,1,2,17,314,54,0.78125,331,92970,1891.33135700935,1049792,0.117103197585807,0.920185141437542,8708.32634559989,"gen",3,1,0.666666666666667,0,1,0,0,1,0,0,0
"32",2.02,2002,"2002 11 4204",2020,2,21,0,22,18,15,18,3,2,1501,2273,9996,0.835498662590753,3774,92970,1891.33135700935,1049792,0.117103197585807,0.920185141437542,8708.32634559989,"gen",33,1,0.545454545454545,0,0,0,0,1,0,0,0
"33",2.02,2002,"2002 9 0042",2020,2,21,1,18,7,7,7,2,1,456,2778,1032,0.608540925266904,3234,92970,1891.33135700935,1049792,0.117103197585807,0.920185141437542,8708.32634559989,"gen",15,0.947368421052632,0.466666666666667,0,0,0,0,1,0,0,0
"34",2.02,2002,"2002 16 0042",2020,2,21,0,30,35,19,13,6,2,769,23190,9024,0.614960441141213,23959,92970,1891.33135700935,1049792,0.117103197585807,0.920185141437542,8708.32634559989,"gen",54,1,0.648148148148148,0,0,0,0,1,0,0,0
"35",2.02,2002,"2002 1 031A",2020,2,21,21,95,115,90,30,2,5,3944,7492,18264,0.656117247238743,11436,92970,1891.33135700935,1049792,0.117103197585807,0.920185141437542,8708.32634559989,"gen",226,0.818965517241379,0.508849557522124,1,0,0,0,1,0,0,0
