"","clave_mun","staff","presupparcial","light","waste","poli","tax","pobtot2018","P60","ingpc2015","salmed","compstaff","pcollege","progtot","capreg","pagemed","pageold","ptemp","party2","party","pct_muj"
"11",1011,672,147995550,4096,39,5588,0.0678223803877544,56753,0.0574771377724526,28024.9549028896,153442.741071429,0.34375,0.197916666666667,13,1,0.401785714285714,0.266369047619048,0.25297619047619,"PRI","PRI",0.372322899505766
"12",2001,3090,703993275,23327,370,54788,0.182864920759026,448406,0.11136113254506,37821.4596838012,387253.493851133,0.360517799352751,0,0,0,0.466343042071197,0.276051779935275,0,"PRI","PRI",0.235922330097087
"13",2002,5847,1610402005,71967,760,110429,0.219531105976442,1027202,0.110099084698044,42543.895829025,422770.298443646,0.199760560971438,0.094920472036942,8,0,0.505729433897725,0.289892252437147,0.0995382247306311,"PAN","PAN",0.275064267352185
"14",2003,1146,218209333,8420,107,29524,0.150057237160298,106967,0.0996849495638842,39819.5657507959,323527.864746946,0.274869109947644,0.137870855148342,18,0,0.49738219895288,0.299301919720768,0.148342059336824,"PRI","PRI",0.317924528301887
"15",2004,10584,3572184831,65747,1769,227136,0.235251298851821,1849955,0.0832452681281437,44641.3722031295,352036.767668178,0.406368102796674,0,17,0,0.44661753590325,0.248582766439909,0.0715230536659108,"PAN","PAN",0.271108317619946
"16",3001,1906,291002463,10100,161,4239,0.0413924604384943,72576,0.124021715167549,31201.0032680775,178123.885099685,0.11909758656873,0.0655823714585519,8,0,0.452780692549843,0.269674711437566,0.00314795383001049,"PAN-","PANC",0.371742906774754
"17",3002,1777,127217000,4300,149,1924,0.0655247200680492,63042,0.100520288061927,34946.9049270792,154667.979741137,0.104670793472144,0.0911648846370287,10,0,0.43556555993247,0.314575126617895,0.0056274620146314,"PAN-","PANC",0.428490672696439
"18",3003,3028,620976017,14266,435,13069,0.205573937220049,284167,0.119412176642608,46750.1098760173,246706.102708058,0.356340819022457,0.191215323645971,0,0,0.468295904887715,0.319682959048877,0.00660501981505945,"PAN-","PANC",0.271031594975257
"19",3008,3413,1302537364,14222,310,14163,0.405293530869256,328583,0.0539985330951388,48285.5971858564,255596.670377967,0.104893055962496,0.179314386170524,0,0,0.432757105186053,0.298564312921184,0,"PAN-","PANC",0.204982206405694
"20",3009,931,79923196,1360,30,3016,0.146198968242326,17786,0.105926009220735,40256.3238704518,200484.245972073,0.146079484425349,0,0,0,0.456498388829216,0.290010741138561,0.322234156820623,"PAN-","PANC",0.400237529691211
"21",4001,801,190203769,5891,17,788,0.0163527297264803,57962,0.121976467340671,20271.8322775264,111522.395755306,0.0973782771535581,0,0,1,0.463171036204744,0.35330836454432,0.229712858926342,"LEFT","LEFT",0.416978776529338
"22",4002,2334,957072419,23958,233,10170,0.0660211369067023,287061,0.120681666962771,33661.8371332486,229790.919451585,0.28063410454156,0.172236503856041,17,0,0.473436161096829,0.387317909168809,0.105398457583548,"PRI","PRI",0.313378684807256
"23",4003,3166,1051675767,14024,318,4004,0.0583206073306229,243294,0.0899981092834184,49468.6940473731,204496.708780796,0.217308907138345,0.213518635502211,13,1,0.403348073278585,0.256475047378395,0.0663297536323437,"PAN","PAN",0.325353218210361
"24",4004,1084,285733131,5700,23,1177,0.0367484964042046,79141,0.102525871545722,21418.1266480966,152326.488929889,0.18450184501845,0.152214022140221,7,0,0.465867158671587,0.340405904059041,0.373616236162362,"PRI","PRI",0.406432748538012
"25",4005,695,101969305,3518,40,413,0.0144420977434793,31194,0.111079053664166,21139.8481461497,86302.8863309352,0.149640287769784,0.129496402877698,13,0,0.43021582733813,0.267625899280576,0.607194244604317,"PAN","PAN",0.441726618705036
"26",4006,559,255747254,4927,24,180,0.0108410484864619,41265,0.0999394159699503,14459.3076989845,113718.647584973,0.193202146690519,0.220035778175313,16,0,0.429338103756708,0.216457960644007,0.785330948121646,"PRI","PRI",0.317813765182186
"27",4007,847,57557641,740,14,70,0.0237871471695209,8616,0.129874651810585,18930.8500899974,106407.553719008,0.101534828807556,0.132231404958678,11,0,0.249114521841795,0.304604486422668,0,"PAN","PAN",0.419875776397516
"28",4009,757,215947004,4535,33,822,0.0271404927411188,58776,0.0945113651830679,19552.5951474685,182051.089828269,0.109643328929987,0.240422721268164,7,0,0.483487450462351,0.334214002642008,0.0634081902245707,"PRI","PRI",0.297619047619048
"29",4010,558,156002921,6050,18,384,0.00837365819879833,30746,0.0780589344955441,15183.9180463576,132433.749103943,0.139784946236559,0.186379928315412,0,0,0.116487455197133,0,0.410394265232975,"PAN","PAN",0.273764258555133
"30",4011,597,218747788,4922,20,558,0.0211851804279288,45770,0.0982302818440026,15703.2660900265,167010.542713568,0.3785594639866,0.159128978224456,10,1,0.460636515912898,0.249581239530988,0,"PAN","PAN",0.267818574514039
"31",5002,1528,306776186,12520,135,5259,0.144977052811028,157795,0.0695966285370259,27936.3487546729,162512.316753927,0.164267015706806,0.068717277486911,5,0,0.37303664921466,0.299083769633508,0.06282722513089,"PAN-","PANC",0.374610591900312
"32",5004,383,149313378,3259,30,2193,0.319462423048696,28168,0.111971030957114,24553.6347186014,147876.428198433,0.27154046997389,0.206266318537859,11,0,0.295039164490862,0.308093994778068,0,"PRI","PRI",0.435754189944134
"33",5005,215,17255618,376,0.857,132,0.0490285845662787,1680,0.178571428571429,23416.7798742138,80815.5488372093,0.106976744186047,0.00930232558139535,9,0,0.316279069767442,0.130232558139535,0,"PRI","PRI",0.441860465116279
"34",5006,273,71195231,2020,21,1250,0.113573582960211,28484,0.112589523943266,27033.2523993519,123705.362637363,0.19047619047619,0.102564102564103,0,0,0.315018315018315,0.391941391941392,0,"PRI","PRI",0.366533864541833
"35",5007,147,28950686,1038,9,900,0.06315401382391,12773,0.12776951381821,24343.0108724953,164921.945578231,0.306122448979592,0.0476190476190476,3,0,0.306122448979592,0.462585034013605,0,"PRI","PRI",0.312925170068027
"36",5009,736,77927030,4200,27,1803,0.0484506607225609,58364,0.106435473922281,19874.8188772807,99251.6277173913,0.0910326086956522,0.0407608695652174,6,0,0.286684782608696,0.402173913043478,0,"PRI","PRI",0.364353312302839
"37",5010,613,171736495,9130,86,3000,0.221315890866929,80967,0.107241221732311,32149.620932573,162770.003262643,0.174551386623165,0.158238172920065,11,0,0.3278955954323,0.368678629690049,0,"PRI","PRI",0.33931484502447
"38",5011,156,39694791,683,5,994,0.0515633644420467,11858,0.147748355540563,18565.3390036452,104444.064102564,0.262820512820513,0.128205128205128,4,1,0.391025641025641,0.307692307692308,0.455128205128205,"PAN-","PANC",0.48993288590604
"39",5016,60,17469661,510,1,150,0.0227253370203261,1779,0.187745924676785,24635.4754098361,149716.2,0.383333333333333,0.0833333333333333,14,0,0.416666666666667,0.3,0,"PAN-","PANC",0.383333333333333
"40",5018,1398,549879492,22464,187,9407,0.174388875688789,233598,0.122462521083228,43079.1124301015,153894.275393419,0.206723891273248,0.113018597997139,11,1,0.363376251788269,0.316881258941345,0,"PAN-","PANC",0.341763005780347
"41",5019,148,27837763,1281,11,249,0.0554130154701478,7983,0.122134535888764,29681.047926915,110985.195945946,0.108108108108108,0.0540540540540541,0,0,0.317567567567568,0.418918918918919,0,"PRI","PRI",0.3203125
"42",5020,695,127856823,6397,73,2206,0.104017911615139,70666,0.126142699459429,25427.665374162,108430.568345324,0.122302158273381,0,2,0,0.322302158273381,0.464748201438849,0,"PRI","PRI",0.392805755395683
"43",5021,155,30049846,920,1,643,0.0426020597998356,6495,0.137028483448807,26505.5340683174,106102.8,0.245161290322581,0.212903225806452,7,0,0.258064516129032,0.425806451612903,0,"PRI","PRI",0.348387096774194
"44",5022,293,97724969,2066,20,1399,0.158512140006085,32088,0.0919346796310147,28389.5553505535,170889.249146758,0.16382252559727,0.187713310580205,19,0,0.36518771331058,0.351535836177474,0,"PRI","PRI",0.293515358361775
"45",5025,1157,464194382,14780,120,28466,0.130603915586016,171622,0.0925405833750918,30873.4264612727,144093.726879862,0.251512532411409,0.194468452895419,13,1,0.348314606741573,0.295592048401037,0.28781331028522,"PRI","PRI",0.26510067114094
"46",5027,616,405827692,9824,60,4843,0.321097890821685,112885,0.0602117198919254,41881.3158208386,186809.939935065,0.201298701298701,0.316558441558442,15,1,0.391233766233766,0.237012987012987,0,"PRI","PRI",0.311688311688312
"47",5028,560,151302014,6100,80,2127,0.081028504757278,64015,0.120659220495196,34582.8605488079,151111.042857143,0.214285714285714,0.075,0,0,0.839285714285714,0.160714285714286,0,"PAN-","PANC",0.353571428571429
"48",5030,4543,1861209377,62299,750,26126,0.207386017460595,848995,0.0973492187822072,39211.0970403917,215287.716046665,0.352630420427031,0.291217257318952,12,0,0.413603345806736,0.25115562403698,0.116883116883117,"PRI","PRI",0.295666046264291
"49",5031,204,70922566,2350,20,1907,0.0615911294060203,24237,0.131369393901886,31319.2649492584,154588.490196078,0.21078431372549,0,1,0,0.681372549019608,0.186274509803922,0.00980392156862745,"PRI","PRI",0.416666666666667
"50",5032,489,89814925,6600,45,2829,0.0823935156077214,42137,0.156821795571588,29569.2422110553,101728.615541922,0.0408997955010225,0.186094069529652,0,0,0.329243353783231,0.38241308793456,0,"PAN-","PANC",0.280163599182004
"51",5033,1011,185961296,6782,144,8775,0.0677264634663551,101362,0.121199265997119,17183.4964133,96927.9990108803,0.0929772502472799,0.0454995054401583,14,0,0.411473788328388,0.33728981206726,0,"PRI","PRI",0.429054054054054
"52",5035,3455,1651432762,70678,620,162180,0.174820341923977,704605,0.115290127092484,35138.1359350808,229579.643994211,0.275253256150506,0.145296671490593,15,1,0.405788712011577,0.28451519536903,0,"PAN-","PANC",0.313147668393782
"53",5036,413,40430892,2180,6,30,0.00855230066545942,20511,0.121788308712398,15037.0274825944,54231.4334140436,0.113801452784504,0.0653753026634383,8,0,0.271186440677966,0.549636803874092,0,"PRI","PRI",0.452685421994885
"54",5037,121,19017167,645,8,695,0.0757981501534734,6209,0.124496698341118,20124.598123534,110844.842975207,0.181818181818182,0.0495867768595041,0,0,0.396694214876033,0.264462809917355,0,"PRI","PRI",0.305785123966942
"55",5038,263,34337266,1332,9,229,0.127527184441657,13046,0.133067606929327,27443.4519257934,90823.463878327,0.163498098859316,0.106463878326996,17,1,0.368821292775665,0.380228136882129,0,"PRI","PRI",0.372623574144487
"56",6001,340,63427226,3149,25,1032,0.0572926788241863,27839,0.137181651639786,20993.411328062,197112.152941176,0.185294117647059,0.170588235294118,14,0,0.347058823529412,0.411764705882353,0.114705882352941,"PRI","PRI",0.264705882352941
"57",6002,1737,378494067,17625,170,26587,0.188025115216668,155016,0.152035918872891,41662.2977068485,194057.67357513,0.221646516983305,0.286701208981002,19,0,0.463442717328728,0.260794473229706,0.0132412204951065,"PAN","PAN",0.299804049640758
"58",6003,386,82439207,2424,18,1025,0.0584717207445664,21504,0.143415178571429,27860.9879542881,154316.380829016,0.189119170984456,0.176165803108808,15,0,0.349740932642487,0.365284974093264,0.0518134715025907,"PRI","PRI",0.273775216138329
"59",6004,237,54405161,960,20,1870,0.0483379570494139,20545,0.136967632027257,25822.584139265,237989.949367089,0.30379746835443,0.265822784810127,14,0,0.409282700421941,0.30379746835443,0.0759493670886076,"PAN","PAN",0.314285714285714
"60",6005,434,75116617,2944,22,528,0.107255840908534,30435,0.149827501232134,28730.880650382,165664.016129032,0.235023041474654,0.19815668202765,13,1,0.430875576036866,0.368663594470046,0.0230414746543779,"PAN","PAN",0.39622641509434
"61",6006,275,60105647,987,5,112,0.0133404098267876,5556,0.156227501799856,20770.6925452139,179953.592727273,0.254545454545455,0.0836363636363636,9,0,0.327272727272727,0.290909090909091,0,"PRI","PRI",0.308755760368664
"62",6007,1704,524958737,17301,224,5906,0.198120412048529,185108,0.0995472913110184,40665.7072243346,333980.677816901,0.198356807511737,0.211854460093897,0,0,0.449530516431925,0.251760563380282,0.0205399061032864,"PRI","PRI",0.301461632155907
"63",6008,131,78744395,1361,5,309,0.0821647115937525,9822,0.113927916921197,25673.1555814292,446629.442748092,0.442748091603053,0.274809160305344,13,0,0.801526717557252,0.083969465648855,0.213740458015267,"PRI","PRI",0.439655172413793
"64",6009,755,254577819,7346,165,7336,0.0974665299628743,115590,0.107414136170949,24580.083918558,257147.202649007,0.177483443708609,0.177483443708609,0,0,0.511258278145695,0.16158940397351,0.170860927152318,"PAN","PAN",0.218683651804671
"65",6010,1135,225776799,12522,139,5280,0.168243954986972,143804,0.0994478595866596,44770.5074290967,227344.431718062,0.19295154185022,0.226431718061674,0,0,0.577973568281938,0.166519823788546,0.0960352422907489,"PAN","PAN",0.292051756007394
"66",7015,606,111478592,1100,32,90,0.0136835749720663,48851,0.109393871159239,12293.8876677528,56254.397689769,0.0891089108910891,0.15016501650165,0,0,0.466996699669967,0.0907590759075908,0,"PRI","PRI",0.369068541300527
"67",7019,1133,360711068,6700,145,794,0.0864588008115813,161141,0.0936136675334024,19495.7963035666,106204.399823477,0.231244483671668,0.236540158870256,0,0,0.455428067078552,0.120917917034422,0,"PRI","PRI",0.239325842696629
