id,docs,staff,beds,op_rooms,id,surgery,consult,days,id,year,pop,income,P60,urb,hhi,special,central,north,west,big,small
2002 38 0042,1,3,3,2,2002 38 0042,17,314,54,2002 38 0042,2020,1049792,8708.32634559989,0.117103197585807,0.920185141437542,1891.33135700935,0,0,1,0,0,1
2002 11 4204,22,33,18,2,2002 11 4204,1501,2273,9996,2002 11 4204,2020,1049792,8708.32634559989,0.117103197585807,0.920185141437542,1891.33135700935,0,0,1,0,0,0
2002 9 0042,19,14,7,1,2002 9 0042,456,2778,1032,2002 9 0042,2020,1049792,8708.32634559989,0.117103197585807,0.920185141437542,1891.33135700935,0,0,1,0,0,1
2002 16 0042,30,54,13,2,2002 16 0042,769,23190,9024,2002 16 0042,2020,1049792,8708.32634559989,0.117103197585807,0.920185141437542,1891.33135700935,0,0,1,0,0,0
2002 1 031A,116,205,30,5,2002 1 031A,3944,7492,18264,2002 1 031A,2020,1049792,8708.32634559989,0.117103197585807,0.920185141437542,1891.33135700935,0,0,1,0,1,0
2002 30 0042,8,14,10,2,2002 30 0042,544,432,2850,2002 30 0042,2020,1049792,8708.32634559989,0.117103197585807,0.920185141437542,1891.33135700935,0,0,1,0,0,0
2002 25 0042,106,288,33,4,2002 25 0042,1510,11362,23034,2002 25 0042,2020,1049792,8708.32634559989,0.117103197585807,0.920185141437542,1891.33135700935,0,0,1,0,1,0
2002 12 4238,137,308,39,4,2002 12 4238,1474,25356,27600,2002 12 4238,2020,1049792,8708.32634559989,0.117103197585807,0.920185141437542,1891.33135700935,0,0,1,0,1,0
2002 20 0042,34,8,5,1,2002 20 0042,402,944,3420,2002 20 0042,2020,1049792,8708.32634559989,0.117103197585807,0.920185141437542,1891.33135700935,0,0,1,0,0,1
2002 15 0042,103,75,12,3,2002 15 0042,367,0,2715,2002 15 0042,2020,1049792,8708.32634559989,0.117103197585807,0.920185141437542,1891.33135700935,0,0,1,0,0,0
2002 13 0042,6,6,3,1,2002 13 0042,68,288,552,2002 13 0042,2020,1049792,8708.32634559989,0.117103197585807,0.920185141437542,1891.33135700935,0,0,1,0,0,1
2002 2 0042,4,10,5,1,2002 2 0042,65,93,456,2002 2 0042,2020,1049792,8708.32634559989,0.117103197585807,0.920185141437542,1891.33135700935,0,0,1,0,0,1
2002 19 0042,5,4,1,1,2002 19 0042,0,91,207,2002 19 0042,2020,1049792,8708.32634559989,0.117103197585807,0.920185141437542,1891.33135700935,0,0,1,0,0,1
2003 8 0410,7,9,9,2,2003 8 0410,52,1736,867,2003 8 0410,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,0
2003 3 1118,26,8,3,1,2003 3 1118,37,542,114,2003 3 1118,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,1
2003 5 1103,23,16,17,2,2003 5 1103,115,5999,2613,2003 5 1103,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,0
2004 150 1543,18,6,5,1,2004 150 1543,33,730,144,2004 150 1543,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,1
2004 78 3836,22,89,12,2,2004 78 3836,1262,4630,9843,2004 78 3836,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,0
2004 76 3056,12,4,4,1,2004 76 3056,46,900,135,2004 76 3056,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,1
2004 84 3380,159,401,48,6,2004 84 3380,1189,16545,27648,2004 84 3380,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,1,0
2004 140 3075,11,5,3,1,2004 140 3075,20,7107,2760,2004 140 3075,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,1
2004 181 7133,20,12,7,1,2004 181 7133,277,8126,834,2004 181 7133,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,1
2004 83 3357,70,34,13,3,2004 83 3357,774,973,5328,2004 83 3357,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,0
2004 33 1543,12,7,5,1,2004 33 1543,124,3800,1146,2004 33 1543,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,1
2004 211 3130,2,8,3,1,2004 211 3130,43,761,132,2004 211 3130,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,1,0,1,0,0,1
2004 139 5809,14,14,12,3,2004 139 5809,10,19233,22467,2004 139 5809,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,0
2004 34 0032,44,75,5,5,2004 34 0032,1849,1849,4020,2004 34 0032,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,1,0,1,0,0,1
2004 21 0032,3,8,4,1,2004 21 0032,80,90,360,2004 21 0032,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,1,0,1,0,0,1
2004 31 4069,11,4,4,1,2004 31 4069,67,305,1092,2004 31 4069,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,1
2004 212 3357,6,11,4,2,2004 212 3357,191,246,591,2004 212 3357,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,1,0,1,0,0,1
2004 48 3357,15,13,7,2,2004 48 3357,368,0,2046,2004 48 3357,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,1
2004 32 0032,21,21,7,1,2004 32 0032,374,0,5349,2004 32 0032,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,1
2004 205 3380,161,210,116,11,2004 205 3380,2337,3462,27744,2004 205 3380,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,1,0
2004 35 0437,15,5,4,1,2004 35 0437,24,700,654,2004 35 0437,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,1
2004 156 2927,28,85,28,3,2004 156 2927,26,1171,2157,2004 156 2927,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,1,0
2004 7 7152,11,11,7,1,2004 7 7152,180,3460,837,2004 7 7152,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,1
2004 18 3840,14,8,4,1,2004 18 3840,28,4190,252,2004 18 3840,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,1
2004 206 2931,26,17,5,1,2004 206 2931,15,6022,123,2004 206 2931,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,1
2004 131 0456,759,148,27,4,2004 131 0456,190,9416,16860,2004 131 0456,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,1,0
2004 152 2931,5,9,2,2,2004 152 2931,360,1265,660,2004 152 2931,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,1
2004 36 1312,11,48,44,2,2004 36 1312,0,842,20037,2004 36 1312,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,1,0
2004 95 3357,4,9,8,2,2004 95 3357,18,98,165,2004 95 3357,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,0
2004 235 3198,8,9,4,1,2004 235 3198,166,12803,675,2004 235 3198,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,1
2004 165 3319,3,6,4,2,2004 165 3319,37,144,510,2004 165 3319,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,1
2004 224 1632,14,46,6,0,2004 224 1632,131,262,732,2004 224 1632,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,1,0,1,0,0,1
2004 166 0422,6,6,6,1,2004 166 0422,154,2796,678,2004 166 0422,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,1
