"","X","id","nombre","entidad","capinstt","pobtot","pobh","pobm","staff","contrato","survtec","certif","estud","capacit","sinsent","sex","seg","fed","fed_com","anio","ocup","psisent","logcap","pctmen","pfed","pfed_plus"
"470",225,30011,"PACHO VIEJO",30,845,925,860,65,190,"public","tech","no_certif",220,84,583,"mixed","min",37,25,2020,1.09467455621302,0.63027027027027,6.73933662735717,0.92972972972973,0.04,0.067027027027027
"471",226,30012,"PANUCO",30,66,66,62,4,23,"public","tech","no_certif",12,0,17,"mixed","min",2,1,2020,1,0.257575757575758,4.18965474202643,0.939393939393939,0.0303030303030303,0.0454545454545455
"472",227,30013,"PAPANTLA",30,337,258,243,15,39,"public","tech","no_certif",83,0,105,"mixed","min",1,3,2020,0.765578635014837,0.406976744186047,5.82008293035236,0.941860465116279,0.00387596899224806,0.0155038759689922
"473",228,30014,"POZA RICA",30,265,342,322,20,39,"public","tech","no_certif",156,68,186,"mixed","min",2,13,2020,1.29056603773585,0.543859649122807,5.57972982598622,0.941520467836257,0.00584795321637427,0.043859649122807
"474",229,30015,"SAN ANDRES TUXTLA",30,330,401,383,18,48,"public","tech","no_certif",177,0,216,"mixed","min",2,3,2020,1.21515151515152,0.538653366583541,5.79909265446053,0.955112219451372,0.00498753117206983,0.0124688279301746
"475",230,30016,"TANTOYUCA",30,180,134,128,6,20,"public","tech","no_certif",28,13,65,"mixed","min",0,0,2020,0.744444444444444,0.485074626865672,5.19295685089021,0.955223880597015,0,0
"476",231,30017,"TUXPAN",30,735,485,446,39,100,"public","tech","no_certif",169,0,174,"mixed","min",3,9,2020,0.659863945578231,0.358762886597938,6.59987049921284,0.919587628865979,0.00618556701030928,0.0247422680412371
"477",232,30018,"ZONGOLICA",30,164,107,106,1,33,"public","tech","no_certif",45,0,43,"mixed","min",0,0,2020,0.652439024390244,0.401869158878505,5.0998664278242,0.990654205607477,0,0
"478",233,31001,"CENTRO DE REINSERCIÓN SOCIAL MÉRIDA",31,2485,1130,1115,15,321,"public","tech","no_certif",250,150,261,"mixed","min",59,4,2020,0.454728370221328,0.230973451327434,7.81802793853073,0.986725663716814,0.052212389380531,0.0557522123893805
"479",234,31002,"CENTRO DE REINSERCIÓN SOCIAL FEMENIL",31,156,13,0,13,60,"public","tech","certif",13,13,0,"women","min",0,0,2020,0.0833333333333333,0,5.04985600724954,0,0,0
"480",235,31003,"CENTRO DE REINSERCIÓN SOCIAL TEKAX",31,152,106,98,8,56,"public","tech","certif",12,8,25,"mixed","min",1,0,2020,0.697368421052632,0.235849056603774,5.02388052084628,0.924528301886792,0.00943396226415094,0.00943396226415094
"481",236,31004,"CENTRO DE REINSERCIÓN SOCIAL VALLADOLID",31,156,95,94,1,63,"public","tech","certif",25,0,23,"mixed","min",0,0,2020,0.608974358974359,0.242105263157895,5.04985600724954,0.989473684210526,0,0
"482",237,32001,"CENTRO REGIONAL DE REISERCIÓN SOCIAL VARONIL CIENEGUILLAS",32,1240,1219,1219,0,229,"public","tech","no_certif",85,48,489,"men","min",357,0,2020,0.983064516129032,0.401148482362592,7.12286665859908,1,0.292863002461034,0.292863002461034
"483",238,32002,"CENTRO REGIONAL DE REISERCIÓN SOCIAL FRESNILLO",32,370,328,328,0,82,"public","tech","no_certif",70,0,150,"men","min",27,0,2020,0.886486486486487,0.457317073170732,5.91350300563827,1,0.0823170731707317,0.0823170731707317
"484",239,32003,"CENTRO PENITENCIARIO DISTRITAL JEREZ DE GARCÍA SALINAS",32,75,70,70,0,20,"public","tech","certif",20,0,27,"men","min",2,0,2020,0.933333333333333,0.385714285714286,4.31748811353631,1,0.0285714285714286,0.0285714285714286
