"","X","id","nombre","entidad","capinstt","pobtot","pobh","pobm","staff","contrato","survtec","certif","estud","capacit","sinsent","sex","seg","fed","fed_com","anio","ocup","psisent","logcap","pctmen","pfed","pfed_plus"
"39",45,8008,"CERESO FEMENIL ESTATAL NO. 1",8,204,199,0,199,61,"public","tech","certif",54,105,84,"women","med",34,8,2019,0.975490196078431,0.422110552763819,5.31811999384422,0,0.170854271356784,0.21105527638191
"40",46,8009,"CERESO FEMENIL ESTATAL NO. 2",8,260,251,0,251,66,"public","tech","certif",33,0,97,"women","min",86,0,2019,0.965384615384615,0.386454183266932,5.56068163101553,0,0.342629482071713,0.342629482071713
"41",47,9001,"RECLUSORIO PREVENTIVO VARONIL NORTE",9,6092,7024,7024,0,869,"public","tech","no_certif",3734,6954,2091,"men","med",692,0,2019,1.15298752462246,0.297693621867882,8.71473171401505,1,0.0985193621867882,0.0985193621867882
"42",48,9002,"RECLUSORIO PREVENTIVO VARONIL ORIENTE",9,6208,8266,8266,0,768,"public","tech","no_certif",4358,5261,1599,"men","med",739,0,2019,1.33150773195876,0.193443019598355,8.73359406186306,1,0.0894023711589644,0.0894023711589644
"43",49,9003,"RECLUSORIO PREVENTIVO VARONIL SUR",9,5319,3333,3333,0,553,"public","tech","no_certif",2072,3369,857,"men","med",440,0,2019,0.626621545403271,0.257125712571257,8.57904059474232,1,0.132013201320132,0.132013201320132
"44",50,9004,"PENITENCIARÍA DE LA CDMX",9,2051,1885,1885,0,610,"public","tech","no_certif",1663,2879,28,"men","med",292,0,2019,0.919063871282301,0.0148541114058355,7.62608275807238,1,0.154907161803714,0.154907161803714
"45",51,9005,"CENTRO VARONIL DE REINSERCIÓN SOCIAL SANTA MARTHA ACATITLA",9,3223,1416,1416,0,616,"public","no_tech","certif",805,2442,5,"men","med",206,0,2019,0.439342227738132,0.00353107344632768,8.07806788181544,1,0.145480225988701,0.145480225988701
"46",52,9006,"CENTRO VARONIL DE REHABILITACIÓN PSICOSOCIAL DE LA CDMX",9,448,213,213,0,251,"public","no_tech","no_certif",124,1150,76,"men","other",10,0,2019,0.475446428571429,0.356807511737089,6.10479323241498,1,0.0469483568075117,0.0469483568075117
"47",53,9007,"CENTRO FEMENIL DE REINSERCIÓN SOCIAL SANTA MARTHA ACATITLA",9,1581,1158,0,1158,468,"public","tech","no_certif",661,1875,290,"women","max",135,0,2019,0.732447817836812,0.250431778929188,7.36581283720947,0,0.116580310880829,0.116580310880829
"48",54,9008,"CENTRO FEMENIL DE REINSERCIÓN SOCIAL TEPEPAN",9,415,135,0,135,309,"public","no_tech","no_certif",139,2730,15,"women","max",19,0,2019,0.325301204819277,0.111111111111111,6.0282785202307,0,0.140740740740741,0.140740740740741
"49",55,9009,"CENTRO DE EJECUCIÓN DE SANCIONES PENALES VARONIL ORIENTE",9,253,116,116,0,268,"public","no_tech","certif",300,461,3,"men","min",7,0,2019,0.458498023715415,0.0258620689655172,5.53338948872752,1,0.0603448275862069,0.0603448275862069
"50",56,9010,"CENTRO DE EJECUCIÓN DE SANCIONES PENALES VARONIL NORTE",9,336,154,154,0,307,"public","no_tech","certif",270,277,4,"men","min",4,0,2019,0.458333333333333,0.025974025974026,5.8171111599632,1,0.025974025974026,0.025974025974026
"51",57,9011,"CENTRO VARONIL DE SEGURIDAD PENITENCIARIA I",9,768,522,522,0,489,"private","tech","certif",432,1089,4,"men","max",94,0,2019,0.6796875,0.00766283524904215,6.64378973314767,1,0.18007662835249,0.18007662835249
"52",58,9012,"CENTRO VARONIL DE SEGURIDAD PENITENCIARIA II",9,768,472,472,0,537,"private","tech","certif",435,1162,1,"men","max",87,0,2019,0.614583333333333,0.00211864406779661,6.64378973314767,1,0.184322033898305,0.184322033898305
"53",59,9013,"INSTITUCIÓN ABIERTA CASA DE MEDIO CAMINO",9,87,8,8,0,59,"public","no_tech","certif",32,127,0,"men","min",0,0,2019,0.0919540229885057,0,4.46590811865458,1,0,0
"54",60,10001,"CERESO NO. 1",10,2070,3288,3082,206,408,"private","tech","no_certif",485,627,1419,"mixed","med",80,0,2019,1.58840579710145,0.431569343065693,7.63530388625941,0.937347931873479,0.024330900243309,0.024330900243309
"55",61,10002,"CE.DI.RE.SO.  NO. 1",10,110,102,102,0,66,"private","tech","certif",90,0,27,"men","med",3,1,2019,0.927272727272727,0.264705882352941,4.70048036579242,1,0.0294117647058824,0.0392156862745098
"56",62,10003,"CE.DI.RE.SO.  NO. 2",10,173,206,198,8,65,"private","tech","certif",199,0,54,"mixed","med",7,0,2019,1.19075144508671,0.262135922330097,5.15329159449778,0.961165048543689,0.0339805825242718,0.0339805825242718
"57",63,11001,"CERESO ACÁMBARO",11,215,218,217,1,110,"public","tech","certif",196,167,63,"men","med",4,0,2019,1.01395348837209,0.288990825688073,5.37063802812766,0.995412844036697,0.018348623853211,0.018348623853211
"58",64,11002,"CERESO CELAYA",11,406,479,478,1,159,"public","tech","certif",81,241,337,"men","med",16,0,2019,1.17980295566502,0.703549060542798,6.00635315960173,0.997912317327766,0.0334029227557411,0.0334029227557411
"59",65,11003,"CERESO GUANAJUATO",11,611,600,531,69,224,"public","tech","certif",462,0,165,"mixed","med",33,0,2019,0.981996726677578,0.275,6.4150969591716,0.885,0.055,0.055
"60",66,11004,"CERESO IRAPUATO",11,304,402,402,0,138,"public","tech","certif",119,105,311,"men","med",25,0,2019,1.32236842105263,0.77363184079602,5.71702770140622,1,0.0621890547263682,0.0621890547263682
"61",67,11005,"CERESO LEÓN",11,1770,1852,1798,54,434,"public","tech","certif",947,1210,695,"mixed","med",95,0,2019,1.04632768361582,0.375269978401728,7.47873482556787,0.970842332613391,0.0512958963282937,0.0512958963282937
"62",68,11006,"CERESO PÉNJAMO",11,286,292,292,0,150,"public","tech","certif",89,125,44,"men","med",14,0,2019,1.02097902097902,0.150684931506849,5.65599181081985,1,0.0479452054794521,0.0479452054794521
"63",69,11007,"CERESO SALAMANCA",11,264,306,306,0,131,"public","tech","certif",286,156,64,"men","med",5,0,2019,1.15909090909091,0.209150326797386,5.57594910314632,1,0.0163398692810458,0.0163398692810458
"64",70,11008,"CERESO SAN FELIPE",11,142,142,142,0,86,"public","tech","certif",79,98,17,"men","med",3,0,2019,1,0.119718309859155,4.95582705760126,1,0.0211267605633803,0.0211267605633803
"65",71,11009,"CERESO SAN MIGUEL DE ALLENDE",11,293,399,399,0,135,"public","tech","certif",370,0,123,"men","med",2,0,2019,1.3617747440273,0.308270676691729,5.68017260901707,1,0.0050125313283208,0.0050125313283208
"66",72,11010,"CERESO VALLE DE SANTIAGO",11,1673,1347,1228,119,404,"public","tech","certif",373,501,235,"mixed","max",66,47,2019,0.805140466228332,0.174461766889384,7.42237370098682,0.911655530809206,0.0489977728285078,0.0838901262063846
"67",73,12001,"CERESO ACAPULCO",12,1659,1709,1619,90,231,"public","tech","no_certif",921,494,679,"mixed","med",499,0,2019,1.03013863773357,0.397308367466355,7.41397029019044,0.94733762434172,0.291983616149795,0.291983616149795
"68",74,12002,"CERESO CHILPANCINGO",12,596,937,865,72,118,"public","tech","no_certif",383,0,350,"mixed","med",214,68,2019,1.57214765100671,0.373532550693703,6.39024066706535,0.92315901814301,0.228388473852721,0.300960512273212
"69",75,12003,"CERESO IGUALA",12,527,461,429,32,92,"public","tech","no_certif",76,0,119,"mixed","med",83,12,2019,0.874762808349146,0.258134490238612,6.26720054854136,0.93058568329718,0.180043383947939,0.206073752711497
"70",76,12004,"CERESO TLAPA",12,58,170,164,6,39,"public","tech","no_certif",56,20,55,"mixed","med",0,0,2019,2.93103448275862,0.323529411764706,4.06044301054642,0.964705882352941,0,0
"71",77,12005,"CERESO LA UNIÓN",12,203,83,79,4,33,"public","tech","no_certif",23,0,18,"mixed","med",8,8,2019,0.408866995073892,0.216867469879518,5.31320597904179,0.951807228915663,0.0963855421686747,0.192771084337349
"72",78,12006,"CERESO AYUTLA",12,38,82,82,0,32,"public","tech","no_certif",16,0,23,"mixed","min",0,0,2019,2.15789473684211,0.280487804878049,3.63758615972639,1,0,0
"73",79,12007,"CERESO COYUCA DE CATALÁN",12,38,83,80,3,27,"public","tech","no_certif",16,0,26,"mixed","min",2,0,2019,2.18421052631579,0.313253012048193,3.63758615972639,0.963855421686747,0.0240963855421687,0.0240963855421687
"74",80,12008,"CERESO CHILAPA",12,92,96,90,6,36,"public","tech","no_certif",27,10,5,"mixed","min",6,0,2019,1.04347826086957,0.0520833333333333,4.52178857704904,0.9375,0.0625,0.0625
"75",81,12009,"CERESO OMETEPEC",12,63,186,179,7,30,"public","tech","no_certif",23,0,71,"mixed","min",2,0,2019,2.95238095238095,0.381720430107527,4.14313472639153,0.962365591397849,0.010752688172043,0.010752688172043
"76",82,12010,"CERESO SAN LUIS ACATLÁN",12,44,51,51,0,21,"public","tech","no_certif",14,6,26,"mixed","min",1,0,2019,1.15909090909091,0.509803921568627,3.78418963391826,1,0.0196078431372549,0.0196078431372549
"77",83,12011,"CERESO TAXCO",12,62,87,83,4,27,"public","tech","no_certif",33,38,24,"mixed","min",0,0,2019,1.40322580645161,0.275862068965517,4.12713438504509,0.954022988505747,0,0
"78",84,12012,"CERESO TÉCPAN",12,58,132,123,9,35,"public","tech","no_certif",10,8,34,"mixed","min",2,0,2019,2.27586206896552,0.257575757575758,4.06044301054642,0.931818181818182,0.0151515151515152,0.0151515151515152
"79",85,12013,"CERESO ZIHUATANEJO",12,62,118,113,5,32,"public","tech","no_certif",29,0,73,"mixed","min",4,0,2019,1.90322580645161,0.61864406779661,4.12713438504509,0.957627118644068,0.0338983050847458,0.0338983050847458
"80",86,13001,"ACTOPAN",13,136,183,176,7,17,"private","tech","no_certif",68,44,109,"mixed","min",0,2,2019,1.34558823529412,0.595628415300546,4.91265488573605,0.961748633879781,0,0.0109289617486339
"81",87,13002,"APAN",13,74,111,104,7,15,"public","tech","no_certif",45,42,68,"mixed","min",0,0,2019,1.5,0.612612612612613,4.30406509320417,0.936936936936937,0,0
"82",88,13003,"HUASTECA",13,272,279,269,10,74,"private","tech","no_certif",50,0,54,"mixed","med",0,1,2019,1.02573529411765,0.193548387096774,5.605802066296,0.96415770609319,0,0.003584229390681
"83",89,13004,"HUICHAPAN",13,51,73,68,5,10,"public","tech","no_certif",34,25,29,"mixed","min",1,0,2019,1.43137254901961,0.397260273972603,3.93182563272433,0.931506849315068,0.0136986301369863,0.0136986301369863
"84",90,13005,"IXMIQUILPAN",13,73,151,138,13,13,"public","tech","no_certif",102,0,50,"mixed","min",0,0,2019,2.06849315068493,0.33112582781457,4.29045944114839,0.913907284768212,0,0
"85",91,13006,"JACALA",13,47,71,70,1,10,"public","tech","no_certif",42,23,19,"mixed","min",0,0,2019,1.51063829787234,0.267605633802817,3.85014760171006,0.985915492957746,0,0
"86",92,13007,"MIXQUIAHUALA",13,45,92,86,6,17,"public","tech","no_certif",39,0,48,"mixed","min",1,0,2019,2.04444444444444,0.521739130434783,3.80666248977032,0.934782608695652,0.0108695652173913,0.0108695652173913
"87",93,13008,"MOLANGO",13,166,161,155,6,20,"private","tech","no_certif",75,16,50,"mixed","min",0,1,2019,0.969879518072289,0.31055900621118,5.11198778835654,0.962732919254658,0,0.0062111801242236
"88",94,13009,"PACHUCA",13,1670,1855,1701,154,119,"private","tech","no_certif",773,210,647,"mixed","min",235,28,2019,1.11077844311377,0.348787061994609,7.4205789054108,0.916981132075472,0.126684636118598,0.14177897574124
"89",95,13010,"TENANGO",13,176,148,139,9,18,"private","tech","no_certif",44,0,38,"mixed","min",0,1,2019,0.840909090909091,0.256756756756757,5.17048399503815,0.939189189189189,0,0.00675675675675676
"90",96,13011,"TULA",13,414,548,495,53,40,"private","tech","no_certif",194,59,199,"mixed","med",10,6,2019,1.32367149758454,0.363138686131387,6.02586597382531,0.903284671532847,0.0182481751824818,0.0291970802919708
"91",97,13012,"TULANCINGO",13,354,623,586,37,34,"private","tech","no_certif",200,103,223,"mixed","min",1,19,2019,1.75988700564972,0.357945425361156,5.86929691313377,0.940609951845907,0.00160513643659711,0.0321027287319422
"92",98,14001,"COMISARÍA DE PRISIÓN PREVENTIVA",14,6578,6604,6604,0,449,"private","tech","no_certif",477,0,3373,"men","min",596,349,2019,1.00395256916996,0.510751059963658,8.791486026749,1,0.0902483343428225,0.143095093882495
"93",99,14002,"COMISARÍA DE SENTENCIADOS",14,4315,4125,4125,0,421,"private","tech","no_certif",1467,513,459,"men","min",236,205,2019,0.955967555040556,0.111272727272727,8.36985260351753,1,0.0572121212121212,0.106909090909091
"94",100,14003,"COMISARÍA DE REINSERCIÓN FEMENIL",14,388,432,0,432,211,"private","tech","no_certif",251,53,202,"women","min",51,9,2019,1.11340206185567,0.467592592592593,5.96100533962327,0,0.118055555555556,0.138888888888889
"95",101,14004,"RECLUSORIO DE PUERTO VALLARTA",14,1608,484,444,40,162,"private","tech","no_certif",246,84,116,"mixed","min",17,8,2019,0.300995024875622,0.239669421487603,7.38274644973891,0.917355371900826,0.0351239669421488,0.0516528925619835
"96",102,14005,"RECLUSORIO DE CIUDAD GUZMAN",14,1114,724,708,16,257,"private","tech","no_certif",311,8,161,"mixed","min",36,16,2019,0.649910233393178,0.222375690607735,7.01571242048723,0.977900552486188,0.0497237569060773,0.0718232044198895
"97",103,14006,"CENTRO INTEGRAL DE JUSTICIA REGIONAL ALTOS NORTE LAGOS DE MORENO",14,84,83,74,9,73,"private","tech","certif",30,30,71,"mixed","min",1,4,2019,0.988095238095238,0.855421686746988,4.43081679884331,0.891566265060241,0.0120481927710843,0.0602409638554217
"98",104,14007,"CENTRO INTEGRAL DE JUSTICIA REGIONAL VALLES TEQUILA",14,84,43,43,0,65,"private","tech","certif",14,22,23,"mixed","min",0,5,2019,0.511904761904762,0.534883720930233,4.43081679884331,1,0,0.116279069767442
"99",105,14008,"CENTRO INTEGRAL DE JUSTICIA REGIONAL CIENEGA CHAPALA",14,129,121,116,5,82,"private","tech","no_certif",42,12,108,"mixed","min",2,4,2019,0.937984496124031,0.892561983471074,4.85981240436167,0.958677685950413,0.0165289256198347,0.0495867768595041
"100",106,14009,"CENTRO INTEGRAL DE JUSTICIA REGIONAL VALLES AMECA",14,84,49,49,0,68,"private","tech","no_certif",16,0,20,"mixed","min",0,3,2019,0.583333333333333,0.408163265306122,4.43081679884331,1,0,0.0612244897959184
"101",107,14010,"CENTRO INTEGRAL DE JUSTICIA REGIONAL ALTOS SUR TEPATITLAN",14,84,49,45,4,65,"private","tech","certif",17,10,35,"mixed","min",0,1,2019,0.583333333333333,0.714285714285714,4.43081679884331,0.918367346938776,0,0.0204081632653061
"102",108,14011,"CENTRO INTEGRAL DE JUSTICIA REGIONAL COSTA SUR AUTLÁN",14,84,68,68,0,66,"private","tech","certif",22,0,49,"mixed","min",0,3,2019,0.80952380952381,0.720588235294118,4.43081679884331,1,0,0.0441176470588235
"103",109,14012,"COMISARÍA DEL RECLUSORIO METROPOLITANO",14,584,383,383,0,189,"private","tech","certif",205,140,237,"men","med",41,53,2019,0.655821917808219,0.618798955613577,6.36990098282823,1,0.107049608355091,0.245430809399478
"104",110,15001,"CUAUTITLÁN",15,359,1510,1414,96,135,"public","tech","no_certif",613,0,677,"mixed","med",7,0,2019,4.20612813370474,0.448344370860927,5.88332238848828,0.936423841059603,0.00463576158940397,0.00463576158940397
"105",111,15002,"CHALCO",15,557,3158,2984,174,256,"public","tech","no_certif",1430,0,963,"mixed","med",22,0,2019,5.66965888689408,0.304939835338822,6.32256523992728,0.944901836605446,0.00696643445218493,0.00696643445218493
"106",112,15003,"ECATEPEC",15,1773,5470,5191,279,351,"public","tech","no_certif",1843,0,2907,"mixed","med",39,0,2019,3.08516638465877,0.531444241316271,7.48042830607421,0.948994515539305,0.00712979890310786,0.00712979890310786
"107",113,15004,"EL ORO",15,90,247,247,0,67,"public","tech","no_certif",247,57,62,"mixed","med",5,0,2019,2.74444444444444,0.251012145748988,4.49980967033027,1,0.0202429149797571,0.0202429149797571
"108",114,15005,"IXTLAHUACA",15,164,379,357,22,89,"public","tech","no_certif",379,0,63,"mixed","med",2,0,2019,2.3109756097561,0.16622691292876,5.0998664278242,0.941952506596306,0.00527704485488127,0.00527704485488127
"109",115,15006,"JILOTEPEC",15,86,352,333,19,77,"public","tech","no_certif",338,0,93,"mixed","med",9,0,2019,4.09302325581395,0.264204545454545,4.45434729625351,0.946022727272727,0.0255681818181818,0.0255681818181818
"110",116,15007,"LERMA",15,57,291,291,0,80,"public","tech","no_certif",291,0,123,"men","med",1,0,2019,5.10526315789474,0.422680412371134,4.04305126783455,1,0.00343642611683849,0.00343642611683849
"111",117,15008,"NEZAHUALCÓYOTL BORDO",15,1834,4494,4258,236,384,"public","tech","no_certif",1589,0,2424,"mixed","med",375,0,2019,2.45038167938931,0.539385847797063,7.51425465281641,0.947485536270583,0.0834445927903872,0.0834445927903872
"112",118,15009,"NEZAHUALCÓYOTL NORTE",15,326,124,124,0,84,"public","tech","certif",124,0,10,"men","med",0,0,2019,0.380368098159509,0.0806451612903226,5.78689738136671,1,0,0
"113",119,15010,"NEZAHUALCÓYOTL SUR",15,413,224,0,224,106,"public","tech","certif",194,16,2,"women","med",9,0,2019,0.542372881355932,0.00892857142857143,6.02344759296103,0,0.0401785714285714,0.0401785714285714
"114",121,15012,"OTUMBA TEPACHICO",15,952,918,918,0,240,"public","tech","certif",711,0,198,"men","med",49,0,2019,0.964285714285714,0.215686274509804,6.85856503479136,1,0.0533769063180828,0.0533769063180828
"115",122,15013,"SANTIAGUITO",15,2197,3656,3308,348,375,"public","tech","no_certif",1347,0,788,"mixed","med",423,0,2019,1.66408739189804,0.215536105032823,7.69484807238461,0.904814004376368,0.115700218818381,0.115700218818381
"116",123,15014,"SULTEPEC",15,184,151,151,0,70,"public","tech","no_certif",143,19,5,"mixed","min",1,0,2019,0.820652173913043,0.033112582781457,5.21493575760899,1,0.00662251655629139,0.00662251655629139
"117",124,15015,"TEMASCALTEPEC",15,141,187,168,19,87,"public","tech","no_certif",187,0,23,"mixed","med",3,0,2019,1.32624113475177,0.122994652406417,4.94875989037817,0.898395721925134,0.0160427807486631,0.0160427807486631
"118",125,15016,"TENANCINGO",15,193,594,572,22,103,"public","tech","no_certif",409,9,138,"mixed","med",4,0,2019,3.07772020725389,0.232323232323232,5.26269018890489,0.962962962962963,0.00673400673400673,0.00673400673400673
"119",126,15017,"TENANCINGO SUR",15,1068,432,432,0,144,"public","tech","no_certif",39,0,0,"men","med",3,0,2019,0.404494382022472,0,6.97354301952014,1,0.00694444444444444,0.00694444444444444
"120",127,15018,"TENANGO DEL VALLE",15,1218,1188,1188,0,242,"public","tech","certif",717,0,153,"men","med",15,0,2019,0.975369458128079,0.128787878787879,7.10496544826984,1,0.0126262626262626,0.0126262626262626
"121",128,15019,"TEXCOCO",15,623,915,837,78,191,"public","tech","certif",904,0,460,"mixed","med",5,0,2019,1.46869983948636,0.502732240437158,6.43454651878745,0.914754098360656,0.00546448087431694,0.00546448087431694
"122",129,15020,"TLALNEPANTLA",15,1069,4383,4156,227,326,"public","tech","no_certif",1727,0,1112,"mixed","med",128,0,2019,4.1000935453695,0.253707506274241,6.97447891102505,0.948208989276751,0.0292037417294091,0.0292037417294091
"123",130,15021,"VALLE DE BRAVO",15,260,388,388,0,96,"public","tech","certif",383,0,82,"men","med",17,0,2019,1.49230769230769,0.211340206185567,5.56068163101553,1,0.0438144329896907,0.0438144329896907
"124",131,15022,"ZUMPANGO",15,120,521,495,26,77,"public","tech","no_certif",404,0,230,"mixed","med",5,0,2019,4.34166666666667,0.441458733205374,4.78749174278205,0.950095969289827,0.00959692898272553,0.00959692898272553
"125",132,15023,"PENITENCIARIA MODELO",15,323,255,255,0,89,"public","tech","certif",255,40,0,"men","med",0,0,2019,0.789473684210526,0,5.77765232322266,1,0,0
"126",133,16001,"CENTRO PENITENCIARIO DE ALTA SEGURIDAD PARA DELITO DE ALTO IMPACTO NO1",16,1044,1179,1095,84,304,"public","tech","certif",74,127,819,"mixed","max",52,0,2019,1.12931034482759,0.694656488549618,6.95081476844258,0.928753180661578,0.0441051738761662,0.0441051738761662
"127",134,16002,"CENTRO PENITENCIARIO ""LIC DAVID FRANCO RODRIGUEZ""",16,1673,1597,1525,72,433,"public","tech","no_certif",340,95,1049,"mixed","med",730,0,2019,0.954572624028691,0.656856606136506,7.42237370098682,0.954915466499687,0.457107075767063,0.457107075767063
"128",135,16003,"CENTRO PENITENCIARIO ""LIC EDUARDO RUIZ"" URUAPAN",16,2300,736,711,25,196,"public","tech","no_certif",172,56,527,"mixed","med",102,0,2019,0.32,0.716032608695652,7.74066440191724,0.966032608695652,0.138586956521739,0.138586956521739
"129",136,16004,"CENTRO PENITENCIARIO LA PIEDAD",16,634,464,449,15,199,"public","no_tech","no_certif",87,4,339,"mixed","med",11,0,2019,0.73186119873817,0.730603448275862,6.45204895443723,0.967672413793103,0.0237068965517241,0.0237068965517241
"130",137,16005,"CENTRO PENITENCIARIO ""HERMANOS LOPEZ RAYON""",16,400,295,280,15,204,"public","tech","no_certif",49,34,117,"mixed","med",6,0,2019,0.7375,0.396610169491525,5.99146454710798,0.949152542372881,0.0203389830508475,0.0203389830508475
"131",138,16006,"CENTRO PENITENCIARIO ""LAZARO CARDENAS"" SAHUAYO",16,170,116,111,5,43,"public","tech","no_certif",38,5,65,"mixed","med",6,0,2019,0.682352941176471,0.560344827586207,5.13579843705026,0.956896551724138,0.0517241379310345,0.0517241379310345
"132",139,16007,"CENTRO PENITENCIARIO MARAVATIO",16,220,80,73,7,105,"public","no_tech","no_certif",20,67,25,"mixed","med",1,0,2019,0.363636363636364,0.3125,5.39362754635236,0.9125,0.0125,0.0125
"133",140,16008,"CENTRO PENITENCIARIO ZAMORA",16,301,253,242,11,153,"public","tech","no_certif",34,15,236,"mixed","med",24,0,2019,0.840531561461794,0.932806324110672,5.70711026474888,0.956521739130435,0.0948616600790514,0.0948616600790514
"134",141,16009,"CENTRO PENITENCIARIO TACAMBARO",16,285,117,117,0,151,"public","tech","certif",26,6,38,"mixed","med",0,0,2019,0.410526315789474,0.324786324786325,5.65248918026865,1,0,0
"135",142,16010,"CENTRO PENITENCIARIO LAZARO CARDENAS LA MIRA",16,450,245,235,10,159,"public","tech","no_certif",45,4,210,"mixed","med",7,0,2019,0.544444444444444,0.857142857142857,6.10924758276437,0.959183673469388,0.0285714285714286,0.0285714285714286
"136",143,16011,"CENTRO PENITENCIARIO APATZINGAN",16,692,209,206,3,169,"public","tech","no_certif",90,2,87,"mixed","med",4,0,2019,0.302023121387283,0.416267942583732,6.53958595561767,0.985645933014354,0.0191387559808612,0.0191387559808612
"137",144,17001,"CENTRO PENITENCIARIO VARONIL",17,2205,2192,2192,0,604,"public","tech","no_certif",102,0,397,"men","med",234,0,2019,0.994104308390023,0.181113138686131,7.69848278788095,1,0.106751824817518,0.106751824817518
"138",145,17002,"CENTRO PENITENCIARIO FEMENIL",17,130,123,0,123,83,"public","tech","certif",17,0,23,"women","med",7,0,2019,0.946153846153846,0.186991869918699,4.86753445045558,0,0.0569105691056911,0.0569105691056911
"139",146,17003,"CENTRO PENITENCIARIO CUAUTLA",17,210,516,475,41,72,"public","tech","no_certif",45,0,206,"mixed","med",11,2,2019,2.45714285714286,0.39922480620155,5.34710753071747,0.920542635658915,0.0213178294573643,0.0251937984496124
"140",147,17004,"CENTRO PENITENCIARIO JOJUTLA",17,132,371,328,43,80,"public","tech","no_certif",75,0,153,"mixed","med",0,10,2019,2.81060606060606,0.412398921832884,4.88280192258637,0.884097035040431,0,0.0269541778975741
"141",148,17005,"CENTRO PENITENCIARIO JONACATEPEC",17,69,63,63,0,38,"public","tech","certif",7,0,4,"mixed","med",2,2,2019,0.91304347826087,0.0634920634920635,4.23410650459726,1,0.0317460317460317,0.0634920634920635
"142",149,18001,"CERESO ""VENUSTIANO CARRANZA""",18,962,1856,1856,0,315,"public","tech","no_certif",332,283,732,"men","min",31,0,2019,1.92931392931393,0.394396551724138,6.86901445066571,1,0.0167025862068966,0.0167025862068966
"143",150,18002,"CERESO ""BUCERIAS""",18,95,96,89,7,79,"public","tech","no_certif",16,57,47,"mixed","min",1,0,2019,1.01052631578947,0.489583333333333,4.55387689160054,0.927083333333333,0.0104166666666667,0.0104166666666667
"144",151,18003,"CERESOFE ""LA ESPERANZA""",18,110,102,0,102,1,"public","tech","no_certif",36,21,51,"women","other",4,0,2019,0.927272727272727,0.5,4.70048036579242,0,0.0392156862745098,0.0392156862745098
"145",152,19001,"CERESO NO 1",19,4748,3615,3615,0,627,"public","tech","no_certif",341,218,823,"men","med",378,0,2019,0.761373209772536,0.227662517289073,8.46547875572956,1,0.104564315352697,0.104564315352697
"146",153,19002,"CERESO NO 2",19,748,700,700,0,212,"public","tech","no_certif",23,0,268,"men","med",61,0,2019,0.935828877005348,0.382857142857143,6.61740297797448,1,0.0871428571428571,0.0871428571428571
"147",154,19003,"CERESO NO 3",19,2000,1850,1850,0,397,"public","tech","no_certif",160,0,462,"men","med",320,117,2019,0.925,0.24972972972973,7.60090245954208,1,0.172972972972973,0.236216216216216
"148",155,19004,"CERESO FEMENIL",19,426,319,0,319,176,"public","tech","no_certif",70,0,128,"women","med",44,0,2019,0.748826291079812,0.401253918495298,6.05443934626937,0,0.137931034482759,0.137931034482759
"149",156,20001,"CENTRO PENITENCIARIO  DE SANTO DOMINGO TEHUANTEPEC",20,335,231,229,2,50,"public","tech","no_certif",52,76,42,"men","min",11,0,2019,0.68955223880597,0.181818181818182,5.81413053182507,0.991341991341991,0.0476190476190476,0.0476190476190476
"150",157,20002,"CENTRO PENITENCIARIO DE SAN JUAN BAUTISTA TUXTEPEC",20,309,309,309,0,56,"public","tech","certif",82,0,157,"men","min",11,0,2019,1,0.508090614886731,5.73334127689775,1,0.0355987055016181,0.0355987055016181
"151",158,20003,"CENTRO PENITENCIARIO DE VILLA DE ETLA",20,256,255,255,0,78,"public","no_tech","no_certif",34,0,109,"men","min",3,0,2019,0.99609375,0.427450980392157,5.54517744447956,1,0.0117647058823529,0.0117647058823529
"152",159,20004,"CENTRO PENITENCIARIO DE SANTA MARÍA IXCOTEL",20,1059,914,914,0,197,"public","tech","no_certif",115,68,562,"men","min",23,0,2019,0.863078375826251,0.614879649890591,6.96508034560141,1,0.025164113785558,0.025164113785558
"153",160,20005,"CENTRO PENITENCIARIO DE SAN JUAN BAUTISTA CUICATLÁN",20,200,196,196,0,45,"private","tech","no_certif",16,5,105,"men","min",0,0,2019,0.98,0.535714285714286,5.29831736654804,1,0,0
"154",161,20006,"CENTRO PENITENCIARO DE MIAHUATLÁN DE PORFIRIO DÍAZ",20,542,542,542,0,66,"public","tech","no_certif",89,0,348,"men","med",24,0,2019,1,0.642066420664207,6.29526600143965,1,0.044280442804428,0.044280442804428
"155",162,20007,"CENTRO PENITENCIARIO DE SANTA CATARINA JUQUILA",20,180,176,176,0,30,"public","no_tech","no_certif",60,50,71,"men","min",1,0,2019,0.977777777777778,0.403409090909091,5.19295685089021,1,0.00568181818181818,0.00568181818181818
"156",163,20008,"CENTRO PENITENCIARIO DE SAN PEDRO POCHUTLA",20,298,213,213,0,34,"private","no_tech","no_certif",13,0,118,"men","other",9,0,2019,0.714765100671141,0.553990610328638,5.6970934865054,1,0.0422535211267606,0.0422535211267606
"157",164,20009,"CENTRO PENITENCIARIO DE SAN FRANCISCO TANIVET VARONIL",20,1580,391,391,0,117,"public","tech","no_certif",0,0,150,"men","other",21,0,2019,0.24746835443038,0.383631713554987,7.36518012602101,1,0.0537084398976982,0.0537084398976982
