"","folio","anyo","staff_t","base","tot_veh","can_ton","compact","truck","pickup","a_10","POBTOT","P60","hoteles","ingpc2015"
"56",5028,2016,41,1,5,64.85,5,0,0,1,64057,0.11080756201508,14,34582.8605488079
"57",5029,2016,5,0,1,3,1,0,0,0,2369,0.117771211481638,0,28315.6268221574
"58",5030,2016,248,206,52,600,52,0,0,0.923076923076923,824020,0.0905706172180287,62,39211.0970403917
"59",5031,2016,28,11,4,16.86,4,0,0,0.75,23875,0.122890052356021,5,31319.2649492584
"60",5032,2016,24,18,16,45,4,4,8,0.625,43549,0.14829272773198,5,29569.2422110553
"61",5033,2016,79,74,10,120,8,0,2,0.8,106840,0.112298764507675,9,17183.4964133
"62",5034,2016,5,0,1,3,0,1,0,1,7111,0.0802981296582759,6,30626.8104163211
"63",5035,2016,340,314,56,530,45,3,6,0.910714285714286,687220,0.110443526090626,83,35138.1359350808
"64",5036,2016,6,0,1,2,1,0,0,0,21595,0.112294512618662,0,15037.0274825944
"65",5037,2016,7,0,2,4,2,0,0,0,6365,0.114218381775334,0,20124.598123534
"66",5038,2016,8,7,2,8,2,0,0,0,13368,0.116621783363256,0,27443.4519257934
"67",6001,2016,82,57,5,33.409,4,1,0,0.8,29780,0.124882471457354,33,20993.411328062
"68",6002,2016,185,110,21,176.59,15,3,2,0.619047619047619,151427,0.146895864013683,58,41662.2977068485
"69",6003,2016,16,6,6,16.76,1,3,0,0.666666666666667,21675,0.123275663206459,18,27860.9879542881
"70",6004,2016,57,28,3,17.9,3,0,0,0.666666666666667,20361,0.12573056333186,3,25822.584139265
"71",6005,2016,20,11,5,23.83,3,2,0,0.6,30816,0.12701194184839,6,28730.880650382
"72",6006,2016,12,8,2,5.5,1,1,0,0.5,5572,0.134601579325197,0,20770.6925452139
"73",6007,2016,23,10,10,230.65,10,0,0,1,189165,0.0826421378161922,137,40665.7072243346
"74",6008,2016,24,11,4,4.75,1,2,1,0.5,9147,0.11435443314748,8,25673.1555814292
"75",6009,2016,94,85,10,160,10,0,0,1,125284,0.0924299990421762,38,24580.083918558
"76",6010,2016,117,51,11,117.68,9,2,0,0.818181818181818,140144,0.0768566617193744,7,44770.5074290967
"77",7001,2016,10,0,2,15,1,1,0,1,18336,0.0932591623036649,0,12456.3322417386
"78",7002,2016,10,0,2,14,1,0,1,0,31919,0.101851561765719,0,15011.8810693328
"79",7003,2016,18,0,2,12,2,0,0,1,28540,0.105501051156272,3,13828.485338726
"80",7004,2016,18,0,2,17,1,1,0,0.5,33473,0.0614823887909659,7,10230.0494585421
"81",7005,2016,10,0,2,5,0,2,0,1,18963,0.0796814849970996,3,9350.52677835759
"82",7006,2016,6,0,3,6,0,3,0,0,30969,0.0963867092899351,0,9309.11769900341
"83",7007,2016,6,0,2,2,0,2,0,0,10150,0.0660098522167488,0,4713.18382581649
"84",7008,2016,8,0,1,8,1,0,0,1,28469,0.0775229196670062,8,9987.67272481589
"85",7009,2016,16,0,5,39.6,3,1,0,0.4,40128,0.122831937799043,34,18777.0264684554
"86",7011,2016,5,0,2,6,0,1,1,1,20314,0.100669489022349,0,7934.99889258029
"87",7012,2016,16,0,3,44,1,2,0,0.333333333333333,53431,0.0698096610581872,0,19732.2630610158
"88",7013,2016,13,0,2,6,0,2,0,0,35868,0.0583249693319951,10,13186.6182224707
"89",7014,2016,11,0,2,12,0,2,0,1,23415,0.0523595985479394,0,6172.93288590604
"90",7015,2016,25,24,4,17,4,0,0,1,45951,0.108419838523645,3,12293.8876677528
"91",7016,2016,7,0,1,9.5,1,0,0,1,17050,0.146862170087977,4,13474.477561068
"92",7017,2016,31,0,3,23.33,2,1,0,0.666666666666667,85723,0.103834443498244,26,16605.6072460865
"93",7018,2016,8,0,1,6,0,1,0,0,9363,0.085656306739293,4,8315.42710472279
"94",7019,2016,112,0,14,125,8,5,1,0.5,155935,0.0815916888447109,86,19495.7963035666
"95",7020,2016,23,0,3,13.15,1,2,0,0.666666666666667,46870,0.0906336675912097,6,9014.57432303281
"96",7021,2016,19,0,2,1,1,1,0,0.5,21950,0.105876993166287,7,13021.7597529041
"97",7022,2016,3,0,1,2.5,0,1,0,0,17358,0.0373314898029727,0,2650.19067457138
"98",7024,2016,5,0,1,3,0,0,1,1,12454,0.0578127509233981,0,5009.88395904437
"99",7025,2016,5,0,1,5,0,1,0,1,7706,0.10589151310667,0,9941.83657587549
"100",7026,2016,6,0,1,1.5,1,0,0,0,40355,0.0432164539710073,0,4545.31746984664
"101",7027,2016,105,0,13,60,5,8,0,0.769230769230769,103381,0.0895425658486569,15,21132.7992386877
"102",7028,2016,8,0,1,4,0,1,0,0,5998,0.105868622874291,0,10926.9983525535
"103",7029,2016,9,0,2,2.14,1,1,0,0.5,4996,0.0966773418734988,0,21184.7777065983
"104",7030,2016,7,0,1,5,1,0,0,0,35390,0.0933314495620232,7,10171.9596490016
"105",7031,2016,32,0,3,32,2,0,1,0.666666666666667,131186,0.0491668318265669,7,7854.23074252652
"106",7032,2016,4,0,4,7,2,2,0,0.5,32173,0.104217822397663,5,13110.0884422111
"107",7033,2016,4,0,1,1,0,1,0,0,7516,0.0667908461947845,0,7151.75836899069
