"","clave_mun","ingreso"
"316","10027",9335880
"317","10028",23731423
"318","10029",3161463
"319","10030",5057431
"320","10031",38620580
"321","10032",144914448
"322","10033",9504766
"323","10034",120584393
"324","10035",26085334
"325","10036",43416275
"326","10037",17512589
"327","10038",56777803
"328","10039",86163266
"329","11001",200211709
"330","11002",1330397169
"331","11003",545350652
"332","11004",287454959
"333","11005",435278024
"334","11006",16221074
"335","11007",2947676337
"336","11008",95046061
"337","11009",147461141
"338","11010",22130184
"339","11011",269966857
"340","11012",127069079
"341","11013",61351672
"342","11014",367440459
"343","11015",1170428107
"344","11016",50115958
"345","11017",4249144341
"346","11018",95003627
"347","11019",86714792
"348","11020",15233081062
"349","11021",138282198
"350","11022",97174119
"351","11023",385383412
"352","11024",27952956
"353","11025",334953576
"354","11026",177125291
"355","11027",1260960329
"356","11028",228464407
"357","11029",124586308
"358","11030",340311315
"359","11031",646814716
"360","11032",251264921
"361","11033",320060413
"362","11034",11591319
"363","11035",215554088
"364","11036",15514667
"365","11037",754873464
"366","11038",92431805
"367","11039",70265964
"368","11040",52417189
"369","11041",262622510
"370","11042",376381281
"371","11043",46121624
"372","11044",308090894
"373","11045",31842561
"374","11046",122898863
"375","12001",2569286492
"376","12002",16161683
"377","12003",49008191
"378","12004",8931046
"379","12005",9366797
"380","12006",17837796
"381","12007",69351906
"382","12008",13587795
"383","12009",1995236
"384","12010",17613241
"385","12011",134452424
"386","12012",111390119
"387","12013",16344895
"388","12014",62076872
"389","12015",30679330
"390","12016",11609412
"391","12017",51564861
"392","12018",30860882
"393","12019",21233955
"394","12020",51618757
"395","12021",141620111
"396","12022",119678205
"397","12023",56826649
"398","12024",14353365
"399","12025",20965831
"400","12026",6911593
"401","12027",90983444
"402","12028",224667137
"403","12029",822890444
"404","12030",35409462
"405","12031",7584913
"406","12032",23613184
"407","12033",32215605
"408","12034",149045573
"409","12035",399356495
"410","12036",13922089
"411","12037",8931538
"412","12038",538720914
"413","12039",45861522
"414","12040",45624828
"415","12041",45736166
"416","12042",37110649
"417","12043",9988182
"418","12044",24110929
"419","12045",33244208
"420","12046",222267913
"421","12047",8148760
"422","12048",132907736
"423","12049",38413036
"424","12050",79944915
"425","12051",60057140
"426","12052",41718789
"427","12053",114164561
"428","12054",17582737
"429","12055",556994741
"430","12056",35728098
"431","12057",161141826
"432","12058",117772567
"433","12059",79093881
"434","12060",19141453
"435","12061",103294778
"436","12062",32869208
"437","12063",31615516
"438","12064",17488670
"439","12065",8233618
"440","12066",191524440
"441","12067",34476417
"442","12068",58273177
"443","12069",7179770
"444","12070",11629954
"445","12071",41783930
"446","12072",5829069
"447","12073",110879141
"448","12074",35947405
"449","12075",151398422
"450","12076",19428638
"451","12077",26055602
"452","12078",11025412
"453","12079",11805233
"454","12080",14377564
"455","12081",10093249
"456","13001",45024428
"457","13002",96875675
"458","13003",227183887
"459","13004",24739208
"460","13005",56748175
"461","13006",89117596
"462","13007",31384928
"463","13008",293308666
"464","13009",49766180
"465","13010",126970578
"466","13011",25472764
"467","13012",107994023
"468","13013",313285616
"469","13014",19463452
"470","13015",46027301
"471","13016",108985415
"472","13017",30250133
"473","13018",48438525
"474","13019",35470006
"475","13020",3351535
"476","13021",57511969
"477","13022",66315437
"478","13023",156480314
"479","13024",68287848
"480","13025",27309832
"481","13026",14018723
"482","13027",21904978
"483","13028",272110577
"484","13029",139175534
"485","13030",248788623
"486","13031",33094761
"487","13032",10257629
"488","13033",3609603
"489","13034",11452003
"490","13035",25600221
"491","13036",21854327
"492","13037",52896542
"493","13038",52188769
"494","13039",60887920
"495","13040",9459865
"496","13041",133097554
"497","13042",20365112
"498","13043",5358577
"499","13044",33382529
"500","13045",25598514
"501","13046",218708931
"502","13047",9890805
"503","13048",1573419198
"504","13049",18566016
"505","13050",68352542
"506","13051",839162079
"507","13052",148556682
"508","13053",30197028
"509","13054",86601524
"510","13055",34460690
"511","13056",137515307
"512","13057",170715367
"513","13058",40894767
"514","13059",108392182
"515","13060",26208276
"516","13061",197746075
"517","13062",260946378
"518","13063",261805736
"519","13064",23184415
"520","13065",35436984
"521","13066",75411503
"522","13067",207031996
"523","13068",14982835
"524","13069",644911961
"525","13070",50906046
"526","13071",5676436
"527","13072",42369445
"528","13073",41045210
"529","13074",74324577
"530","13075",283350510
"531","13076",417054574
"532","13077",504722725
"533","13078",10504931
"534","13079",9947395
"535","13080",27348904
"536","13081",147738794
"537","13082",78899121
"538","13083",216065205
"539","13084",172660901
"540","14001",66463270
"541","14002",80423076
"542","14003",106082542
"543","14004",12961360
"544","14005",43385868
"545","14006",177633520
"546","14007",33217415
"547","14008",289023898
"548","14009",172864603
"549","14010",17482462
"550","14011",9178162
"551","14012",11774234
"552","14013",203764173
"553","14014",26388299
"554","14015",231885848
"555","14016",101110470
"556","14017",37861838
"557","14018",251955254
"558","14019",12598006
"559","14020",32461992
"560","14021",61176896
"561","14022",137912819
"562","14023",505782384
"563","14024",87598063
"564","14025",57352501
"565","14026",22563722
"566","14027",23673039
"567","14028",6898385
"568","14029",35712842
"569","14030",183013130
"570","14031",5044538
"571","14032",13391402
"572","14033",53668743
"573","14034",4358857
"574","14035",147865450
"575","14036",65597159
"576","14037",81591666
"577","14038",9174932
"578","14039",9887093590
"579","14040",20023308
"580","14041",9811375
"581","14042",23859313
"582","14043",72921872
"583","14044",219038556
"584","14045",48748914
"585","14046",87246480
"586","14047",62338348
"587","14048",46088952
"588","14049",15981471
"589","14050",159875095
"590","14051",117022964
"591","14052",17366199
"592","14053",804108297
"593","14054",19184029
"594","14055",64742594
"595","14056",3754848
"596","14057",12706720
"597","14058",53420767
"598","14059",45787502
"599","14060",14567031
"600","14061",32116550
"601","14062",10731348
"602","14063",384896866
"603","14064",79064579
"604","14065",32004537
"605","14066",133879878
"606","14067",1940266226
"607","14068",32266941
"608","14069",12797251
"609","14070",1123834973
"610","14071",6965528
"611","14072",32578262
"612","14073",232270937
"613","14074",57655174
"614","14075",8511977
"615","14076",19604756
"616","14077",72769647
"617","14078",85792593
"618","14079",54658762
"619","14080",12773104
"620","14081",7314504
"621","14082",122619285
"622","14083",347695070
"623","14084",48090714
"624","14085",234267993
"625","14086",59471061
"626","14087",59272281
"627","14088",39361857
"628","14089",10373240
"629","14090",20603579
"630","14091",92912653
"631","14092",102621630
"632","14093",562842494
"633","14094",140304701
"634","14095",25368369
"635","14096",68461645
"636","14097",5655112871
"637","14098",3790678228
"638","14099",31149800
"639","14100",98233518
"640","14101",3544782906
"641","14102",18243407
"642","14103",19164424
"643","14104",8934142
"644","14105",65525812
"645","14106",13344132
"646","14107",16565868
"647","14108",137010375
"648","14109",53416690
"649","14110",50471165
"650","14111",21917918
"651","14112",15463686
"652","14113",50524169
"653","14114",55439593
"654","14115",12174545
"655","14116",57014523
"656","14117",9727143
"657","14118",64499297
"658","14119",101385239
"659","14120",15748254907
"660","14121",103669283
"661","14122",26204773
"662","14123",76219330
"663","14124",246350688
"664","14125",48855556
"665","15001",449673062
"666","15002",624510651
"667","15003",94793633
"668","15004",39003443
"669","15005",418897597
"670","15006",36793546
"671","15007",54641575
"672","15008",43815049
"673","15009",121212850
"674","15010",88300435
"675","15011",446020086
"676","15012",32793691
"677","15013",6021167773
"678","15014",294057286
"679","15015",50911410
"680","15016",68191779
"681","15017",23905046
"682","15018",217933393
"683","15019",154316573
"684","15020",2132054329
"685","15021",125083238
"686","15022",36682093
"687","15023",414740022
"688","15024",1277405337
"689","15025",3774577962
"690","15026",139309703
"691","15027",43888433
"692","15028",82323549
"693","15029",2268877350
"694","15030",396469928
"695","15031",17152164690
"696","15032",502001651
"697","15033",22315023166
"698","15034",26413443
"699","15035",964772437
"700","15036",173908386
"701","15037",3509431060
"702","15038",38101054
"703","15039",5879072461
"704","15040",157472070
"705","15041",6138829
"706","15042",1568485720
"707","15043",89457712
"708","15044",564918342
"709","15045",343184343
"710","15046",130533515
"711","15047",234073428
"712","15048",188470218
