clave_mun,staff,presupparcial,light,waste,poli,tax,pobtot2018,P60,ingpc2015,salmed,compstaff,pcollege,progtot,capreg,pagemed,pageold,ptemp,Estado,party,pct_muj,rural,semirural,urbsmall,urbmed,indice_marg,Partido,Ali
4009,757,215947004,4535,33,822,0.027140493,58776,0.094511365,19552.59515,182051.0898,0.109643329,0.240422721,7,0,0.48348745,0.334214003,0.06340819,4,PRI,0.297619048,0,0,1,0,-0.174,PRI,TRUE
4010,558,156002921,6050,18,384,0.008373658,30746,0.078058934,15183.91805,132433.7491,0.139784946,0.186379928,0,0,0.116487455,0,0.410394265,4,PAN,0.273764259,0,0,1,0,0.706,PAN,FALSE
4011,597,218747788,4922,20,558,0.02118518,45770,0.098230282,15703.26609,167010.5427,0.378559464,0.159128978,10,1,0.460636516,0.24958124,0,4,PAN,0.267818575,0,0,1,0,0.769,PAN,FALSE
5002,1528,306776186,12520,135,5259,0.144977053,157795,0.069596629,27936.34875,162512.3168,0.164267016,0.068717277,5,0,0.373036649,0.29908377,0.062827225,5,PANC,0.374610592,0,0,0,1,-1.353,PAN-UDDC-PPC-PES,FALSE
5004,383,149313378,3259,30,2193,0.319462423,28168,0.111971031,24553.63472,147876.4282,0.27154047,0.206266319,11,0,0.295039164,0.308093995,0,5,PRI,0.43575419,0,0,1,0,-0.849,PRI-PVEM-PNA-SDI-PJ-PDRC-PCP,TRUE
5005,215,17255618,376,0.857,132,0.049028585,1680,0.178571429,23416.77987,80815.54884,0.106976744,0.009302326,9,0,0.31627907,0.130232558,0,5,PRI,0.441860465,1,0,0,0,-0.647,PRI-PVEM-PNA-SDI-PJ-PDRC-PCP,TRUE
5006,273,71195231,2020,21,1250,0.113573583,28484,0.112589524,27033.2524,123705.3626,0.19047619,0.102564103,0,0,0.315018315,0.391941392,0,5,PRI,0.366533865,0,0,1,0,-1.484,PRI-PVEM-PNA-SDI-PJ-PDRC-PCP,TRUE
5007,147,28950686,1038,9,900,0.063154014,12773,0.127769514,24343.01087,164921.9456,0.306122449,0.047619048,3,0,0.306122449,0.462585034,0,5,PRI,0.31292517,0,1,0,0,-0.992,PRI-PVEM-PNA-SDI-PJ-PDRC-PCP,TRUE
5009,736,77927030,4200,27,1803,0.048450661,58364,0.106435474,19874.81888,99251.62772,0.091032609,0.04076087,6,0,0.286684783,0.402173913,0,5,PRI,0.364353312,0,0,1,0,-1.021,PRI,TRUE
5010,613,171736495,9130,86,3000,0.221315891,80967,0.107241222,32149.62093,162770.0033,0.174551387,0.158238173,11,0,0.327895595,0.36867863,0,5,PRI,0.339314845,0,0,1,0,-1.663,PRI,TRUE
5011,156,39694791,683,5,994,0.051563364,11858,0.147748356,18565.339,104444.0641,0.262820513,0.128205128,4,1,0.391025641,0.307692308,0.455128205,5,PANC,0.489932886,0,1,0,0,-0.624,PAN-UDDC-PPC-PES,FALSE
5016,60,17469661,510,1,150,0.022725337,1779,0.187745925,24635.47541,149716.2,0.383333333,0.083333333,14,0,0.416666667,0.3,0,5,PANC,0.383333333,1,0,0,0,-1.012,PAN-UDDC-PPC-PES,FALSE
5018,1398,549879492,22464,187,9407,0.174388876,233598,0.122462521,43079.11243,153894.2754,0.206723891,0.113018598,11,1,0.363376252,0.316881259,0,5,PANC,0.341763006,0,0,0,1,-1.836,PAN-UDDC-PPC-PES,FALSE
5019,148,27837763,1281,11,249,0.055413015,7983,0.122134536,29681.04793,110985.1959,0.108108108,0.054054054,0,0,0.317567568,0.418918919,0,5,PRI,0.3203125,0,1,0,0,-1.427,PRI-PVEM-PNA-SDI-PJ-PDRC-PCP,TRUE
