"","folio","anyo","staff_t","tot_veh","can_ton","reg","base","compact","truck","pickup","o_veh","n_orgs","a_10","a_20","POBTOT","P60","hoteles","ingpc2015"
"1",1001,2018,681,78,677,"pub",278,53,8,11,6,1,0.58974358974359,0.371794871794872,918594,0.103032460477643,111,35871.1482725854
"2",1002,2018,8,5,26,"pub",5,0,5,0,0,1,0.4,0.2,50324,0.0889237739448375,0,16395.9292836738
"3",1003,2018,80,7,50,"pub",42,6,0,1,0,1,0.285714285714286,0.285714285714286,57424,0.128709250487601,10,18107.0862039708
"4",1004,2018,45,2,6,"pub",16,2,0,0,0,1,0.5,0.5,16610,0.0918121613485852,0,16974.9279811098
"5",1005,2018,54,10,74,"pub",53,8,1,1,0,1,1,0,123862,0.0721771003213253,9,32254.8583556131
"6",1006,2018,60,4,32,"pub",6,4,0,0,0,1,0,1,46486,0.0901991997590672,5,22804.0659178876
"7",1007,2018,18,4,33,"pub",8,3,0,1,0,1,0.5,0.25,55724,0.0883999712870576,0,19339.6995737195
"8",1008,2018,10,2,5,"pub",7,2,0,0,0,1,0.5,0.5,9331,0.0983817382917158,5,19773.0143783479
"9",1009,2018,11,2,13,"pub",7,2,0,0,0,1,0,1,21924,0.0940977923736544,0,17795.0994776553
"10",1010,2018,13,3,18,"pub",9,3,0,0,0,1,0.666666666666667,0.333333333333333,20444,0.0921052631578947,0,17128.8959760807
"11",1011,2018,70,6,39,"pub",37,6,0,0,0,1,0.166666666666667,0.666666666666667,56753,0.0574771377724526,3,28024.9549028896
"12",2001,2018,361,43,370,"mixed",209,28,3,12,0,3,0.27906976744186,0.348837209302326,448406,0.11136113254506,174,37821.4596838012
"13",2002,2018,449,111,760,"pub",383,111,0,0,0,1,1,0,1027202,0.110099084698044,134,42543.895829025
"14",2003,2018,115,5,107,"pub",66,3,0,2,0,2,0,0,106967,0.0996849495638842,23,39819.5657507959
"15",2004,2018,851,343,1769,"pub",594,245,42,22,34,1,0.384839650145773,0.553935860058309,1849955,0.0832452681281437,274,44641.3722031295
"16",2005,2018,44,11,198,"mixed",4,11,0,0,0,2,0.818181818181818,0.181818181818182,119644,0.105930928420982,43,40098.0021663778
"17",3001,2018,126,18,161,"pub",72,0,15,3,0,1,0.722222222222222,0.277777777777778,72576,0.124021715167549,32,31201.0032680775
"18",3002,2018,119,26,149,"pub",62,7,11,8,0,1,0.115384615384615,0.461538461538462,63042,0.100520288061927,73,34946.9049270792
"19",3003,2018,180,42,435,"pub",97,33,0,6,3,1,0.69047619047619,0.30952380952381,284167,0.119412176642608,113,46750.1098760173
"20",3008,2018,151,28,310,"pub",16,28,0,0,0,1,1,0,328583,0.0539985330951388,156,48285.5971858564
"21",3009,2018,51,14,30,"pub",27,7,7,0,0,1,0.285714285714286,0.571428571428571,17786,0.105926009220735,39,40256.3238704518
"22",4001,2018,17,4,17,"pub",4,2,0,1,1,1,1,0,57962,0.121976467340671,22,20271.8322775264
"23",4002,2018,238,33,233,"priv",224,12,2,0,19,2,1,0,287061,0.120681666962771,102,33661.8371332486
"24",4003,2018,194,12,318,"mixed",158,12,0,0,0,2,1,0,243294,0.0899981092834184,192,49468.6940473731
"25",4004,2018,30,8,23,"pub",21,4,0,4,0,1,0.75,0,79141,0.102525871545722,29,21418.1266480966
"26",4005,2018,34,4,40,"pub",7,2,2,0,0,1,0,1,31194,0.111079053664166,4,21139.8481461497
"27",4006,2018,10,1,24,"pub",1,0,0,1,0,1,1,0,41265,0.0999394159699503,7,14459.3076989845
"28",4007,2018,68,3,14,"pub",21,1,1,1,0,1,0.666666666666667,0.333333333333333,8616,0.129874651810585,7,18930.8500899974
"29",4008,2018,6,2,7,"pub",1,1,0,0,1,1,1,0,11112,0.109161267098632,0,18802.7705235941
"30",4009,2018,23,3,33,"pub",22,3,0,0,0,1,1,0,58776,0.0945113651830679,20,19552.5951474685
"31",4010,2018,14,1,18,"pub",6,1,0,0,0,1,1,0,30746,0.0780589344955441,18,15183.9180463576
"32",4011,2018,32,4,20,"pub",18,1,2,1,0,1,0.75,0,45770,0.0982302818440026,13,15703.2660900265
"33",5002,2018,59,16,135,"priv",51,12,2,2,0,1,0.25,0.75,157795,0.0695966285370259,20,27936.3487546729
"34",5003,2018,17,4,25,"pub",14,4,0,0,0,1,1,0,22979,0.115583793898777,5,33610.253689168
"35",5004,2018,16,6,30,"priv",3,6,0,0,0,1,0.333333333333333,0.5,28168,0.111971030957114,0,24553.6347186014
"36",5006,2018,7,3,21,"pub",3,0,3,0,0,1,0,1,28484,0.112589523943266,0,27033.2523993519
"37",5007,2018,39,3,9,"pub",34,2,1,0,0,1,0.666666666666667,0.333333333333333,12773,0.12776951381821,10,24343.0108724953
"38",5009,2018,57,8,27,"pub",37,0,8,0,0,1,0.25,0.75,58364,0.106435473922281,14,19874.8188772807
"39",5010,2018,112,18,86,"pub",89,14,0,4,0,1,0.0625,0.9375,80967,0.107241221732311,9,32149.620932573
"40",5011,2018,4,1,5,"pub",3,1,0,0,0,1,1,0,11858,0.147748355540563,0,18565.3390036452
"41",5013,2018,12,1,1,"pub",0,0,1,0,0,1,NA,NA,1756,0.105353075170843,0,23612.0715396579
"42",5014,2018,7,2,1,"pub",6,0,0,2,0,1,0,1,9591,0.11854863934939,0,23934.8679245283
"43",5015,2018,15,3,1,"pub",0,0,2,1,0,1,0.666666666666667,0,1583,0.140240050536955,0,23219.9710144928
"44",5016,2018,8,1,1,"pub",0,0,0,1,0,1,0,1,1779,0.187745924676785,0,24635.4754098361
"45",5017,2018,54,6,30,"mixed",34,5,0,1,0,2,0,0.5,116104,0.105681113484462,6,21751.5768820821
"46",5018,2018,215,36,187,"pub",143,17,13,6,0,1,0.583333333333333,0.416666666666667,233598,0.122462521083228,28,43079.1124301015
"47",5019,2018,24,2,11,"pub",0,0,2,0,0,1,0.5,0.5,7983,0.122134535888764,4,29681.047926915
"48",5020,2018,7,13,73,"pub",0,9,0,4,0,1,0.230769230769231,0.615384615384615,70666,0.126142699459429,12,25427.665374162
"49",5021,2018,4,2,1,"pub",0,0,2,0,0,1,0.5,0.5,6495,0.137028483448807,0,26505.5340683174
"50",5022,2018,161,10,20,"mixed",25,0,6,4,0,2,0.1,0.6,32088,0.0919346796310147,3,28389.5553505535
"51",5023,2018,17,2,3,"pub",3,2,0,0,0,1,0,0,9911,0.117848854807789,0,25937.2796391753
"52",5024,2018,36,5,40,"pub",33,5,0,0,0,1,1,0,44657,0.128244172246232,21,22030.3351984521
"53",5025,2018,106,13,120,"priv",0,13,0,0,0,1,1,0,171622,0.0925405833750918,25,30873.4264612727
"54",5027,2018,51,12,60,"pub",21,10,1,1,0,1,1,0,112885,0.0602117198919254,11,41881.3158208386
"55",5028,2018,42,6,80,"pub",0,6,0,0,0,1,0.833333333333333,0.166666666666667,64015,0.120659220495196,14,34582.8605488079
"56",5030,2018,284,58,750,"pub",245,58,0,0,0,1,0.672413793103448,0.327586206896552,848995,0.0973492187822072,62,39211.0970403917
"57",5031,2018,26,5,20,"pub",6,0,4,1,0,1,0.6,0.2,24237,0.131369393901886,5,31319.2649492584
"58",5032,2018,72,9,45,"pub",34,3,1,5,0,1,0.444444444444444,0.444444444444444,42137,0.156821795571588,5,29569.2422110553
"59",5033,2018,68,10,144,"pub",48,0,4,6,0,1,0.4,0.5,101362,0.121199265997119,9,17183.4964133
"60",5034,2018,7,1,7,"pub",1,0,0,1,0,1,0,1,6671,0.0821466047069405,6,30626.8104163211
"61",5035,2018,501,62,620,"priv",483,47,3,12,0,1,0.838709677419355,0.129032258064516,704605,0.115290127092484,83,35138.1359350808
"62",5036,2018,10,2,6,"pub",8,2,0,0,0,1,0,1,20511,0.121788308712398,0,15037.0274825944
"63",5037,2018,8,2,8,"pub",1,2,0,0,0,1,0,1,6209,0.124496698341118,0,20124.598123534
"64",5038,2018,13,2,9,"pub",12,1,0,1,0,1,0,0.5,13046,0.133067606929327,0,27443.4519257934
"65",6001,2018,19,4,25,"pub",7,0,3,1,0,1,0.75,0.25,27839,0.137181651639786,33,20993.411328062
"66",6002,2018,242,35,170,"pub",109,17,1,4,13,14,0.636363636363636,0.272727272727273,155016,0.152035918872891,58,41662.2977068485
"67",6003,2018,16,4,18,"pub",5,1,1,2,0,1,0.25,0.75,21504,0.143415178571429,18,27860.9879542881
"68",6004,2018,14,2,20,"pub",6,2,0,0,0,1,0.5,0.5,20545,0.136967632027257,3,25822.584139265
"69",6005,2018,20,5,22,"pub",10,3,0,2,0,1,0.4,0.6,30435,0.149827501232134,6,28730.880650382
"70",6006,2018,12,2,5,"pub",8,1,0,1,0,1,0.5,0,5556,0.156227501799856,0,20770.6925452139
"71",6007,2018,29,22,224,"pub",10,12,0,0,10,11,1,0,185108,0.0995472913110184,137,40665.7072243346
"72",6008,2018,19,4,5,"pub",11,1,1,2,0,1,0.5,0,9822,0.113927916921197,8,25673.1555814292
"73",6009,2018,97,9,165,"pub",92,9,0,0,0,1,0.888888888888889,0.111111111111111,115590,0.107414136170949,38,24580.083918558
"74",6010,2018,178,7,139,"pub",60,5,0,2,0,1,0.857142857142857,0.142857142857143,143804,0.0994478595866596,7,44770.5074290967
"75",7001,2018,11,2,16,"pub",0,0,1,1,0,1,1,0,17758,0.0982092577993017,0,12456.3322417386
"76",7002,2018,24,1,16,"pub",0,1,0,0,0,1,1,0,22739,0.108975768503452,0,15011.8810693328
"77",7003,2018,16,3,6,"pub",0,0,3,0,0,1,1,0,27036,0.119507323568575,3,13828.485338726
"78",7004,2018,17,2,15,"pub",0,2,0,0,0,1,1,0,34905,0.0592751754762928,7,10230.0494585421
"79",7005,2018,20,2,2,"pub",0,0,0,2,0,1,0,0,23867,0.0717727406041815,3,9350.52677835759
"80",7006,2018,18,3,10,"pub",0,2,0,1,0,1,0,1,31299,0.100801942554075,0,9309.11769900341
"81",7007,2018,10,2,5,"pub",0,0,0,2,0,1,0,0,10776,0.071826280623608,0,4713.18382581649
"82",7008,2018,8,1,18,"pub",0,1,0,0,0,1,1,0,30884,0.0832469887320295,8,9987.67272481589
"83",7011,2018,6,1,3,"pub",0,0,0,1,0,1,1,0,19985,0.105579184388291,0,7934.99889258029
"84",7012,2018,14,3,30,"pub",14,3,0,0,0,1,1,0,60339,0.075639304595701,0,19732.2630610158
"85",7013,2018,10,3,20,"pub",0,1,0,2,0,1,NA,NA,35938,0.0578218042183761,10,13186.6182224707
"86",7015,2018,21,4,32,"pub",5,3,1,0,0,1,0,1,48851,0.109393871159239,3,12293.8876677528
"87",7016,2018,5,1,3,"pub",0,1,0,0,0,1,1,0,17524,0.147911435745264,4,13474.477561068
"88",7017,2018,27,5,60,"pub",0,2,0,3,0,1,0.4,0.2,86106,0.10870322625601,26,16605.6072460865
"89",7018,2018,8,1,1,"pub",0,0,0,1,0,1,0,0,9612,0.0950894714939659,4,8315.42710472279
"90",7019,2018,87,14,145,"pub",0,9,1,4,0,1,0.5,0.214285714285714,161141,0.0936136675334024,86,19495.7963035666
"91",7020,2018,15,2,15,"pub",0,0,1,1,0,1,0.5,0.5,48754,0.0982688599909751,6,9014.57432303281
"92",7021,2018,7,1,8,"pub",0,1,0,0,0,1,0,0,21962,0.114925780894272,7,13021.7597529041
"93",7022,2018,3,1,2,"pub",0,0,0,1,0,1,0,0,20339,0.0388908009243326,0,2650.19067457138
"94",7023,2018,4,3,1,"pub",0,0,0,3,0,1,0,1,96965,0.0645903160934358,0,5540.21223709369
"95",7024,2018,3,1,6,"pub",0,0,0,1,0,1,1,0,13105,0.0590614269362839,0,5009.88395904437
"96",7025,2018,8,1,6,"pub",0,0,0,1,0,1,0,1,7444,0.101289629231596,0,9941.83657587549
"97",7026,2018,13,2,2,"pub",0,0,0,2,0,1,0.5,0.5,45119,0.0472749839313815,0,4545.31746984664
"98",7027,2018,60,12,65,"pub",60,3,2,7,0,1,0.0909090909090909,0.363636363636364,107179,0.0904748131630263,15,21132.7992386877
"99",7028,2018,7,1,5,"pub",0,0,0,1,0,1,0,1,6005,0.110907577019151,0,10926.9983525535
"100",7029,2018,5,1,6,"pub",0,0,0,1,0,1,0,1,5322,0.102029312288613,0,21184.7777065983
"101",7030,2018,5,1,8,"pub",0,1,0,0,0,1,0,1,35731,0.0934482662114131,7,10171.9596490016
"102",7031,2018,29,2,35,"pub",0,2,0,0,0,1,1,0,132122,0.051581114424547,7,7854.23074252652
"103",7032,2018,16,3,16,"priv",0,0,1,2,0,1,0.333333333333333,0.666666666666667,30732,0.112228296238449,5,13110.0884422111
"104",7033,2018,6,1,1,"pub",0,0,0,1,0,1,0,0,7192,0.0723025583982203,0,7151.75836899069
"105",7034,2018,73,7,30,"pub",0,0,3,4,0,1,0,0.428571428571429,78116,0.0914025295714066,29,12612.3189255881
"106",7035,2018,7,1,8,"pub",0,0,0,1,0,1,0,1,14177,0.10277209564788,0,12613.2218012241
"107",7036,2018,5,1,1,"pub",0,0,0,1,0,1,0,0,7616,0.0932247899159664,3,10058.1721384206
"108",7037,2018,12,5,25,"pub",0,5,0,0,0,1,0.6,0.4,35756,0.109939590558228,0,16342.4759074506
"109",7039,2018,12,2,10,"pub",0,1,0,1,0,1,0,0.5,26824,0.0728079331941545,0,10384.6534883721
"110",7040,2018,25,5,27,"pub",0,1,2,1,1,1,0.6,0.4,52863,0.110966082136844,22,16544.0649611833
"111",7041,2018,5,1,1,"pub",0,1,0,0,0,1,1,0,45378,0.0856582484904579,3,7259.01541045559
"112",7042,2018,4,1,3,"pub",0,0,0,1,0,1,0,1,11151,0.0814276746480136,0,8078.9438640799
"113",7043,2018,2,3,4,"pub",0,1,1,1,0,1,NA,NA,10800,0.0960185185185185,3,13943.6040216551
"114",7044,2018,10,3,10,"pub",0,0,0,3,0,1,NA,NA,28101,0.0725241094622967,0,11660.6593433271
"115",7045,2018,6,1,2,"pub",0,0,0,1,0,1,0,0,6126,0.0909239307868103,0,11485.6073059361
"116",7046,2018,12,2,15,"pub",2,0,1,1,0,1,0.5,0,40410,0.145607522890374,0,12671.8789530018
"117",7047,2018,12,2,2,"pub",0,1,0,1,0,1,0.5,0,23707,0.0564812080820011,0,9383.06685972234
"118",7048,2018,20,2,16,"pub",0,1,0,1,0,1,NA,NA,21660,0.121560480147738,6,20200.7590295312
"119",7049,2018,10,2,6,"pub",0,0,0,2,0,1,0,1,29077,0.0489046325274272,0,4441.10695895248
"120",7050,2018,10,1,4,"pub",0,0,1,0,0,1,1,0,5182,0.156310304901582,0,15720.5510976533
"121",7051,2018,22,4,3,"pub",0,0,0,4,0,1,0.25,0.75,45689,0.113703517257983,18,14884.1530584155
"122",7052,2018,57,6,24,"pub",0,0,3,3,0,1,0.166666666666667,0.666666666666667,135116,0.0692071997394831,9,10726.2980026243
"123",7053,2018,7,1,2,"pub",0,0,1,0,0,1,1,0,7881,0.122446390052024,0,10636.191522763
"124",7054,2018,30,2,24,"pub",0,2,0,0,0,1,0,0.5,27917,0.118028441451445,3,14187.8216591155
"125",7055,2018,20,1,3,"pub",0,1,0,0,0,1,1,0,5705,0.116564417177914,0,18584.8404868674
"126",7056,2018,5,1,3,"pub",0,0,0,1,0,1,0,0,13237,0.0424567500188865,0,6231.46215494212
"127",7057,2018,32,5,88,"pub",0,1,1,3,0,1,0.2,0.6,74943,0.0924836208852061,24,10416.7248083107
"128",7058,2018,5,1,2,"pub",0,1,0,0,0,1,1,0,4677,0.0673508659397049,0,4252.80391357521
"129",7059,2018,83,11,70,"pub",59,5,1,3,2,1,0.636363636363636,0.181818181818182,227501,0.0540261361488521,49,15308.1894745358
"130",7060,2018,5,1,5,"pub",0,1,0,0,0,1,1,0,13646,0.0754067125897699,0,5738.66257505003
"131",7061,2018,30,6,53,"pub",0,4,0,2,0,3,0.166666666666667,0.833333333333333,94331,0.0834402264366963,13,15943.8544574425
"132",7062,2018,10,2,15,"pub",0,1,0,1,0,1,0,0.5,18187,0.0921537361851872,6,13922.5520361991
"133",7063,2018,5,1,7,"pub",0,0,0,1,0,1,0,1,3944,0.0892494929006085,0,15865.0418181818
"134",7065,2018,30,7,100,"priv",0,7,0,0,0,1,0.571428571428571,0.428571428571429,127998,0.0766183846622603,90,19555.3439898471
"135",7066,2018,15,2,4,"pub",0,0,0,2,0,1,1,0,25229,0.0514090927107693,3,6326.99293748365
"136",7067,2018,6,1,9,"pub",0,0,0,1,0,1,0,1,11990,0.0808173477898249,0,7585.61224489796
"137",7068,2018,72,6,19,"pub",0,2,0,4,0,1,0.333333333333333,0.333333333333333,31501,0.108187041681216,11,19215.9550390551
"138",7069,2018,44,3,25,"pub",0,2,0,1,0,1,0.333333333333333,0.666666666666667,50967,0.128965801400906,12,15148.888869156
"139",7071,2018,18,3,9,"pub",0,0,0,3,0,1,0,1,29819,0.112612763674167,4,12042.2888437417
"140",7073,2018,4,1,9,"pub",0,0,0,1,0,1,0,1,10490,0.0739752144899905,4,11915.4127710364
"141",7074,2018,38,3,65,"pub",0,3,0,0,0,1,0.333333333333333,0.666666666666667,44007,0.0896675528893131,11,33572.3003420265
"142",7075,2018,2,3,21,"pub",0,0,0,3,0,1,0,0.666666666666667,28170,0.0898828541001065,3,10963.6589355141
"143",7076,2018,20,1,3,"pub",0,0,0,1,0,1,0,0,28947,0.0743427643624555,8,10427.9743109446
"144",7077,2018,8,2,10,"pub",0,2,0,0,0,1,0.5,0.5,62853,0.0839737164494933,5,14191.5421470487
"145",7078,2018,191,17,250,"pub",177,11,1,5,0,1,0.352941176470588,0.529411764705882,209885,0.0723920242037306,251,22735.5354975041
"146",7079,2018,8,2,20,"pub",0,2,0,0,0,1,1,0,40044,0.0860303665967436,3,18574.7417868116
"147",7080,2018,6,1,2,"pub",2,1,0,0,0,1,1,0,28375,0.0839823788546255,8,6703.37506466632
"148",7081,2018,33,4,26,"pub",0,0,0,4,0,1,0,0.25,50409,0.0545140748675832,9,10236.4919774953
"149",7082,2018,12,1,7,"pub",0,1,0,0,0,1,0,0,14869,0.0507095298944112,0,10386.5172413793
"150",7083,2018,8,1,16,"pub",0,1,0,0,0,1,0,0,18701,0.0988182450136356,0,9357.01159145586
"151",7084,2018,6,1,3,"pub",0,1,0,0,0,1,0,1,8465,0.0960425280567041,0,8868.77380230443
"152",7085,2018,8,1,8,"pub",0,0,0,1,0,1,NA,NA,10660,0.0837711069418386,0,11945.9216539717
"153",7086,2018,14,2,25,"pub",0,1,0,1,0,1,1,0,24709,0.0919907725929823,0,16684.7508269019
"154",7087,2018,55,3,28,"pub",0,0,0,3,0,1,0,1,40352,0.0848037272006344,19,15010.4486426786
"155",7089,2018,130,7,392,"pub",28,0,5,2,0,1,0,1,347059,0.10282689686768,145,24083.1063398667
"156",7090,2018,3,1,3,"pub",0,0,0,1,0,1,0,0,4465,0.113325867861142,3,11432.5849802372
"157",7092,2018,7,2,14,"pub",0,0,1,1,0,1,0,1,25349,0.103002090812261,20,12048.6337175793
"158",7093,2018,18,2,3,"pub",0,0,0,2,0,1,0,1,46580,0.0590811507084586,0,4749.75236380009
"159",7094,2018,30,4,48,"pub",10,3,0,1,0,1,0.25,0.25,47119,0.0691228591438698,6,9539.02723759468
"160",7096,2018,26,3,2,"pub",0,0,0,3,0,1,1,0,81088,0.071884865824783,12,11346.1650977552
"161",7097,2018,40,5,10,"pub",0,4,1,0,0,1,0.8,0,90450,0.121614151464898,73,17510.8084565925
"162",7098,2018,8,1,2,"pub",0,0,0,1,0,1,0,1,7047,0.0781893004115226,0,7447.32487309645
"163",7099,2018,15,2,9,"pub",0,2,0,0,0,1,0,1,81041,0.10404610012216,6,10409.6809897405
"164",7100,2018,13,2,10,"pub",0,1,1,0,0,1,0.5,0.5,36763,0.0850311454451487,0,6187.12539851222
"165",7102,2018,69,4,35,"pub",0,1,1,2,0,1,0.75,0,40369,0.114419480294285,3,15522.5499596014
"166",7103,2018,6,1,20,"pub",0,1,0,0,0,1,NA,NA,29865,0.107182320441989,0,11833.3338544517
"167",7104,2018,10,2,2,"pub",0,0,0,2,0,1,0,0.5,16049,0.111346501339647,0,11517.5205095541
"168",7105,2018,4,1,3,"pub",0,1,0,0,0,1,1,0,15625,0.131968,5,10426.4404583956
"169",7106,2018,26,4,11,"pub",0,1,3,0,0,1,1,0,66101,0.0988941165791743,13,10459.5754244734
"170",7107,2018,27,3,19,"pub",0,1,0,2,0,1,0,0.5,67413,0.103036506311839,10,10875.0058506143
"171",7108,2018,30,6,90,"pub",4,0,4,2,0,1,0.333333333333333,0.666666666666667,107354,0.108053728785141,20,15984.5566675301
"172",7109,2018,16,4,15,"pub",0,1,0,2,1,1,1,0,39036,0.0789527615534378,17,14986.7613987397
"173",7110,2018,7,2,1,"pub",0,0,0,2,0,1,0,0,7366,0.0814553353244638,0,7458.32911392405
"174",7111,2018,7,2,30,"pub",0,2,0,0,0,1,1,0,43593,0.0644828298121258,0,7025.01364407405
"175",7112,2018,11,1,2,"pub",0,0,0,1,0,1,0,1,36160,0.0464878318584071,0,2706.69332216872
"176",7114,2018,13,2,9,"pub",0,0,1,1,0,1,0,1,22338,0.0615543020861313,12,13194.9392112967
"177",7115,2018,5,1,3,"pub",0,0,0,1,0,1,1,0,14059,0.0594636887403087,6,10993.7142857143
"178",8001,2018,13,3,18,"priv",0,3,0,0,0,1,0,0.333333333333333,14001,0.0942075566030998,5,29242.2087258758
"179",8002,2018,22,4,17,"mixed",18,4,0,0,0,1,0,0.5,25294,0.117774966395193,3,33170.5317869002
"180",8003,2018,46,3,10,"pub",0,1,1,1,0,1,0,0.333333333333333,8473,0.189189189189189,0,26441.3299363057
"181",8004,2018,6,3,20,"priv",0,3,0,0,0,1,NA,NA,21616,0.0455218356772761,0,26968.5937035727
"182",8005,2018,17,4,24,"pub",0,3,0,0,1,2,1,0,25671,0.0959058860192435,16,29621.5127960179
"183",8006,2018,3,1,1,"pub",0,1,0,0,0,1,0,0,5851,0.207144077935396,0,26771.4884910486
"184",8007,2018,4,1,8,"pub",0,1,0,0,0,1,0,1,16688,0.108401246404602,7,17874.1123152709
"185",8008,2018,3,1,1,"pub",0,0,1,0,0,1,1,0,11890,0.0892346509671993,7,13238.432160804
"186",8009,2018,27,9,26,"pub",0,5,4,0,0,1,0,0.111111111111111,24430,0.111952517396643,54,23920.4902461681
"187",8011,2018,38,11,58,"pub",27,11,0,0,0,1,0,1,49348,0.130359893004782,12,27581.9706247511
"188",8013,2018,20,2,26,"pub",0,1,1,0,0,1,0,0.5,11571,0.139227378791807,3,23663.8445968005
"189",8014,2018,4,1,2,"pub",3,1,0,0,0,1,0,0,2084,0.202015355086372,0,19735.9022457067
"190",8015,2018,10,5,2,"pub",0,0,5,0,0,1,0,0.4,1321,0.199091597274792,0,27750.4333581534
"191",8016,2018,4,1,5,"pub",0,1,0,0,0,1,1,0,3758,0.163650878126663,0,22699.8030634573
"192",8017,2018,183,62,165,"pub",83,26,25,11,0,1,NA,NA,175439,0.108117351330092,34,40610.9559497736
"193",8019,2018,385,113,1230,"mixed",155,113,0,0,0,8,0.752212389380531,0.247787610619469,914047,0.118828681676106,113,43007.186697701
"194",8020,2018,10,1,4,"pub",0,0,0,1,0,1,1,0,6665,0.11807951987997,3,23028.9651716362
"195",8021,2018,72,26,175,"priv",0,21,0,5,0,1,0.307692307692308,0.692307692307692,147991,0.121737132663473,14,33965.227425714
"196",8022,2018,8,4,3,"pub",8,0,1,3,0,1,0,0.5,2543,0.337396775462053,0,20055.2273838631
"197",8023,2018,5,1,4,"pub",0,1,0,0,0,1,0,0,6500,0.0881538461538462,0,22624.3954857704
"198",8025,2018,3,1,8,"pub",0,1,0,0,0,1,0,1,7344,0.189678649237473,3,25135.6463414634
"199",8026,2018,5,1,1,"pub",4,1,0,0,0,1,0,1,2601,0.277970011534025,0,25024.7362126246
"200",8027,2018,47,10,40,"pub",10,4,2,4,0,1,0.1,0.3,50081,0.0889758591082446,14,19874.6515611062
"201",8028,2018,7,2,2,"pub",0,2,0,0,0,1,0.5,0.5,4682,0.129004698846647,0,19985.1474219317
"202",8029,2018,13,3,9,"pub",0,3,0,0,0,1,1,0,51115,0.0774136750464639,15,15120.072699735
"203",8030,2018,3,2,3,"pub",0,1,1,0,0,1,0,1,8358,0.114501076812635,13,25445.7291570705
"204",8031,2018,9,5,35,"pub",6,0,0,5,0,1,0,0.4,36306,0.154216933840137,12,25875.4347885589
"205",8032,2018,54,12,150,"priv",0,10,0,2,0,2,1,0,114741,0.12742611620955,31,31936.9450174715
"206",8034,2018,4,1,4,"pub",0,1,0,0,0,1,1,0,5542,0.215265247203176,0,21528.6149266426
"207",8036,2018,25,7,13,"pub",21,5,2,0,0,1,0,0.5,40937,0.122822874172509,8,24826.4034103657
"208",8038,2018,58,1,8,"priv",58,1,0,0,0,1,1,0,4977,0.171589310829817,0,29321.7915966387
"209",8039,2018,5,3,2,"pub",0,0,1,2,0,1,0.666666666666667,0.333333333333333,4105,0.184165651644336,0,21747.0826771654
"210",8040,2018,18,6,36,"pub",14,6,0,0,0,1,0.666666666666667,0.333333333333333,26035,0.148876512387171,12,25009.8288495336
"211",8042,2018,4,1,1,"pub",0,0,0,1,0,1,0,0,1265,0.222134387351779,0,28139.6467439786
"212",8043,2018,6,1,5,"pub",0,1,0,0,0,1,NA,NA,2816,0.216264204545455,0,23387.1845210005
"213",8044,2018,3,2,5,"pub",0,1,1,0,0,1,0.5,0.5,4355,0.177037887485649,0,21183.1896103896
"214",8045,2018,58,4,61,"priv",58,4,0,0,0,1,1,0,44649,0.127908799749155,4,27335.4998782961
"215",8046,2018,7,1,1,"pub",0,0,0,1,0,1,0,0,7479,0.0939965235994117,0,14459.875601629
"216",8047,2018,7,2,2,"pub",0,0,0,2,0,1,0.5,0,4624,0.124134948096886,4,21491.3064798599
"217",8048,2018,14,4,12,"pub",0,0,4,0,0,1,0,0.5,22744,0.186158986985579,6,32993.1074014975
"218",8050,2018,44,11,71,"mixed",12,9,2,0,0,2,0.818181818181818,0.0909090909090909,64473,0.11732042870659,13,31651.1913706249
"219",8051,2018,30,3,28,"pub",0,0,2,1,0,1,0,0.333333333333333,8010,0.0978776529338327,12,30091.9072335726
"220",8052,2018,25,4,30,"pub",25,4,0,0,0,1,0.75,0,24888,0.136491481838637,14,39565.1129928553
"221",8053,2018,6,2,6,"pub",0,2,0,0,0,1,0,1,5047,0.15157519318407,0,20385.8674145844
"222",8054,2018,12,2,2,"pub",12,2,0,0,0,1,0,0,7756,0.12429087158329,0,50657.1054342778
"223",8055,2018,58,1,28,"priv",58,1,0,0,0,1,1,0,16777,0.142158908028849,0,24527.3684210526
"224",8056,2018,2,1,2,"pub",2,0,0,1,0,1,0,1,2107,0.223540579022307,0,18021.8863636364
"225",8057,2018,6,1,3,"pub",0,1,0,0,0,1,0,1,2218,0.25834084761046,0,22410.8595866001
"226",8058,2018,3,1,8,"pub",0,1,0,0,0,1,1,0,2751,0.192657215557979,11,24258.7009778693
"227",8059,2018,13,2,2,"pub",4,0,1,1,0,1,0.5,0.5,4953,0.166969513426206,0,31889.1432755675
"228",8060,2018,18,6,15,"pub",15,3,3,0,0,1,0,1,11355,0.149009247027741,0,29213.6161750083
"229",8061,2018,3,1,1,"pub",0,1,0,0,0,1,0,0,3462,0.249566724436742,0,24409.1471415183
"230",8062,2018,58,3,50,"priv",58,3,0,0,0,1,1,0,30357,0.142734789340185,6,30415.7075503929
"231",8064,2018,5,1,1,"pub",0,0,0,1,0,1,0,0,1533,0.223744292237443,0,18926.8291390728
"232",8066,2018,5,2,1,"pub",5,0,0,2,0,1,0,0.5,6848,0.121933411214953,0,16783.8948571429
"233",8067,2018,6,2,4,"pub",0,2,0,0,0,1,0,0,4841,0.210906837430283,3,24064.0185251158
"234",9002,2018,707,151,737,"pub",665,127,11,13,0,1,0.350993377483444,0.357615894039735,428703,0.173126850057032,21,44203.28589074
