"","folio","anyo","staff_t","tot_veh","can_ton","reg","base","compact","truck","pickup","o_veh","n_orgs","a_10","a_20","POBTOT","P60","hoteles","ingpc2015"
"2828",20242,2020,2,1,1.485,"pub",0,0,1,0,0,1,0,1,12436,0.123190736571245,0,7989.89700996678
"2829",20248,2020,6,1,1.7,"pub",0,0,1,0,0,1,0,1,15571,0.101663348532528,0,11257.1879366161
"2830",20266,2020,3,2,2,"pub",0,1,1,0,0,1,0.5,0,8551,0.125599345105836,0,18344.1360606757
"2831",20275,2020,2,2,1.75,"pub",0,1,0,1,0,1,1,0,7286,0.121328575349986,0,9198.19415943173
"2832",20277,2020,2,1,2.5,"pub",0,1,0,0,0,1,0,1,12350,0.136437246963563,7,12928.151194436
"2833",20278,2020,20,1,2,"pub",0,1,0,0,0,1,1,0,38682,0.121891318959723,3,11046.0115556334
"2834",20284,2020,7,2,1,"pub",0,0,2,0,0,1,0,0.5,3141,0.152180834129258,0,8272.16981132075
"2835",20293,2020,10,5,8.115,"pub",0,2,0,3,0,2,0.6,0.4,17116,0.0935382098621173,4,37187.4804767776
"2836",20295,2020,7,1,6.338,"pub",0,0,1,0,0,1,0,1,10020,0.153692614770459,0,21898.6209927611
"2837",20298,2020,10,4,7,"pub",0,1,1,1,1,1,1,0,13587,0.141385147567528,4,16552.1419503751
"2838",20300,2020,4,1,2,"pub",0,0,1,0,0,1,1,0,6632,0.126357056694813,0,14536.2472952087
"2839",20305,2020,5,1,1.5,"pub",0,0,1,0,0,1,0,1,4333,0.186937456727441,3,27100.559926807
"2840",20308,2020,6,1,2,"pub",5,0,1,0,0,1,1,0,3307,0.111279104928939,0,21103.265060241
"2841",20309,2020,14,1,2.857,"pub",0,0,0,1,0,1,0,1,10368,0.131944444444444,0,11366.9352517986
"2842",20310,2020,2,1,3,"pub",0,1,0,0,0,1,1,0,14552,0.0703683342495877,0,20272.381943541
"2843",20312,2020,3,1,1.44,"pub",0,0,0,1,0,1,1,0,11279,0.128557496231935,0,10473.7418111753
"2844",20318,2020,46,9,72,"pub",24,9,0,0,0,3,0.333333333333333,0.666666666666667,49780,0.0951787866613098,159,26471.2345572354
"2845",20324,2020,35,6,30,"pub",0,2,2,0,2,1,1,0,48204,0.108331258816696,93,19609.992018894
"2846",20325,2020,4,1,1.428,"pub",0,0,1,0,0,1,0,1,11930,0.113830678960604,0,10575.9324064171
"2847",20327,2020,9,2,5.5,"pub",0,1,1,0,0,1,0.5,0.5,15479,0.154854964791007,5,16536.4781969623
"2848",20333,2020,3,1,1.3,"pub",0,0,0,1,0,1,0,1,3294,0.161505768063145,0,24832.0877598152
"2849",20334,2020,26,6,20,"pub",0,6,0,0,0,1,0.666666666666667,0.333333333333333,50541,0.12285075483271,27,18458.4461798854
"2850",20339,2020,5,2,2.5,"pub",3,1,1,0,0,1,0,1,4353,0.152768205835056,4,19075.4463232403
"2851",20342,2020,4,1,1.95,"pub",0,1,0,0,0,1,1,0,4105,0.0898903775883069,0,33805.917109458
"2852",20348,2020,4,1,1.3,"pub",0,0,1,0,0,1,0,1,8192,0.17236328125,0,16313.3070947695
"2853",20350,2020,6,3,23.182,"pub",0,3,0,0,0,1,0,1,16878,0.120630406446261,7,41452.2306315205
"2854",20364,2020,21,3,6.9,"pub",0,2,0,1,0,1,1,0,18654,0.0923126407204889,77,19849.6953191489
"2855",20375,2020,3,1,13,"pub",0,1,0,0,0,1,0,0,13200,0.0893181818181818,0,29463.4104725415
"2856",20378,2020,4,1,1,"pub",0,0,1,0,0,1,0,1,3720,0.145967741935484,0,10139.1342894394
"2857",20390,2020,12,6,51.733,"pub",0,6,0,0,0,1,1,0,50362,0.119613994678527,13,36723.6255480721
"2858",20397,2020,79,8,18,"pub",31,3,1,0,4,1,0.5,0.25,40123,0.11150711561947,8,23223.2704512569
"2859",20398,2020,3,2,1,"pub",0,1,1,0,0,1,0.5,0.5,4874,0.18896183832581,0,15667.4604948125
"2860",20401,2020,17,5,38,"pub",0,3,2,0,0,1,0.2,0.8,27046,0.0895511351031576,99,22640.6931964056
"2861",20403,2020,9,3,4.5,"pub",0,2,0,1,0,1,0.333333333333333,0.666666666666667,3751,0.0994401492935217,0,26634.0963765409
"2862",20406,2020,5,1,1,"pub",0,0,1,0,0,1,0,0,21469,0.13787321253901,0,6836.45668316832
