clave_municipio,INGTRHOG_EXP,NUMPERS_EXP,ingpc2015
8011,98120562,42689,27581.970624751106
8013,18120589,9189,23663.84459680052
8014,2490013,1514,19735.902245706737
8015,3105736,1343,27750.433358153387
8016,5186905,2742,22699.80306345733
8017,480552826,141997,40610.95594977359
8018,6418555,3142,24513.89560789306
8019,2654561256,740684,43007.18669770104
8020,7659050,3991,23028.965171636184
8021,353204400,124788,33965.22742571401
8022,2734196,1636,20055.22738386308
8023,7684753,4076,22624.395485770365
8025,13740820,6560,25135.646341463413
8026,3138519,1505,25024.736212624583
8027,37132474,22420,19874.651561106155
8028,6879887,4131,19985.147421931735
8029,26621408,21128,15120.07269973495
8030,9207113,4342,25445.729157070477
8031,63023934,29228,25875.434788558916
8032,252866085,95012,31936.945017471473
8033,538754,394,16408.751269035532
8034,8437423,4703,21528.614926642567
8035,58445644,8358,83913.34386216798
8036,73767520,35656,24826.403410365718
8037,3382211507,1219134,33291.28552234619
8038,8723233,3570,29321.791596638657
8039,5523759,3048,21747.082677165356
8040,46249426,22191,25009.828849533595
8041,1371631,766,21487.69190600522
8042,2628712,1121,28139.646743978592
