"","clave_mun","POBTOT","P_60YMAS","pob_urb"
"2255",30162,6448,820,NA
"2256",30163,5040,672,NA
"2257",30164,16957,2552,10581
"2258",30165,8925,1053,NA
"2259",30166,9405,1374,NA
"2260",30167,14619,2478,5597
"2261",30168,16343,1453,4487
"2262",30169,22709,3844,8862
"2263",30170,10824,1193,NA
"2264",30171,5575,611,NA
"2265",30172,19925,2988,8969
"2266",30173,54537,7435,9690
"2267",30174,95602,15086,49658
"2268",30175,92726,13168,44805
"2269",30176,4489,711,3965
"2270",30177,11685,948,NA
"2271",30178,12898,2685,7287
"2272",30179,4284,563,2503
"2273",30180,10900,1727,NA
"2274",30181,37795,6873,12702
"2275",30182,19664,1791,9725
"2276",30183,61377,7498,40923
"2277",30184,7933,724,NA
"2278",30185,5548,493,3977
"2279",30186,7197,1037,4415
"2280",30187,6105,541,NA
"2281",30188,17217,2209,4051
"2282",30189,154600,23364,118115
"2283",30190,2258,556,NA
"2284",30191,30097,5668,18659
"2285",30192,20204,3625,13504
"2286",30193,607209,87893,576766
"2287",30194,12492,957,7539
"2288",30195,5900,531,2790
"2289",30196,17902,2957,5681
"2290",30197,11205,2181,3151
"2291",30198,6788,1130,NA
"2292",30199,11899,1031,10459
"2293",30200,12581,1822,NA
"2294",30201,45028,5228,7455
"2295",30202,14644,1785,NA
"2296",30203,14524,2238,3794
"2297",30204,44104,6925,37464
"2298",30205,19402,3110,8913
"2299",30206,29209,4184,28076
"2300",30207,44978,6739,23234
"2301",30208,23376,4624,17919
"2302",30209,15044,1556,8611
"2303",30210,30891,3254,4258
"2304",30211,30351,4976,14550
"2305",30212,13062,1814,3353
"2306",31001,6550,838,2608
"2307",31002,16772,1769,11917
"2308",31003,12285,1124,12022
"2309",31004,6195,951,4997
"2310",31005,2167,335,NA
"2311",31006,9159,1341,7973
"2312",31007,7490,920,7460
"2313",31008,3949,701,2584
"2314",31009,4466,850,4065
"2315",31010,2755,317,NA
"2316",31011,8389,780,8366
"2317",31012,3736,756,3328
"2318",31013,16671,1982,13944
"2319",31014,1714,204,NA
"2320",31015,5560,621,4208
"2321",31016,3104,289,2860
"2322",31017,4686,598,NA
"2323",31018,3385,486,NA
"2324",31019,38934,3099,25663
"2325",31020,4497,567,4463
"2326",31021,9406,884,6540
"2327",31022,4363,449,3019
"2328",31023,4863,677,4847
"2329",31024,3244,459,3237
"2330",31025,6003,675,6001
"2331",31026,3622,638,3467
"2332",31027,8345,1474,7530
"2333",31028,2936,381,NA
"2334",31029,6240,1060,6169
"2335",31030,4015,547,3204
"2336",31031,2818,536,NA
"2337",31032,16779,1912,12320
"2338",31033,21255,2567,13868
"2339",31034,6514,868,4397
"2340",31035,6384,908,5151
"2341",31036,8090,917,6810
"2342",31037,5250,694,5194
"2343",31038,35137,3582,32224
"2344",31039,4186,482,4115
"2345",31040,28555,3805,21971
"2346",31041,141939,9451,139753
"2347",31042,5553,826,3573
"2348",31043,3405,303,2879
"2349",31044,7530,817,7190
"2350",31045,2677,391,NA
"2351",31046,3296,425,3189
"2352",31047,5968,748,4715
"2353",31048,23991,2715,13965
"2354",31049,3965,321,3956
"2355",31050,995129,139794,957399
"2356",31051,3430,511,NA
"2357",31052,37804,5088,26081
"2358",31053,13494,1797,12553
"2359",31054,2990,434,2590
"2360",31055,7080,779,5412
"2361",31056,33854,3499,26175
"2362",31057,7766,1209,5318
"2363",31058,25954,3198,21456
"2364",31059,66008,8680,64653
"2365",31060,976,168,NA
"2366",31061,3974,496,NA
"2367",31062,4962,591,3999
"2368",31063,5631,608,3352
"2369",31064,1701,260,NA
"2370",31065,2118,282,NA
"2371",31066,4220,481,3767
"2372",31067,10053,1236,9141
"2373",31068,3206,613,2586
"2374",31069,8967,1172,5758
"2375",31070,3971,672,3855
"2376",31071,1949,252,NA
"2377",31072,1857,398,NA
"2378",31073,5854,333,4963
"2379",31074,3774,653,3654
"2380",31075,6921,765,6890
"2381",31076,17939,2140,10017
"2382",31077,2683,389,2645
"2383",31078,3747,656,3143
"2384",31079,45062,4867,31788
"2385",31080,11020,1128,11015
"2386",31081,3355,451,2785
"2387",31082,3512,714,3496
"2388",31083,1915,283,NA
"2389",31084,7037,1120,6472
"2390",31085,16680,1829,10914
"2391",31086,2133,403,NA
"2392",31087,5464,580,4550
"2393",31088,1917,352,NA
"2394",31089,40495,4811,40376
"2395",31090,7503,777,4204
"2396",31091,12700,1326,6496
"2397",31092,7888,751,4174
"2398",31093,18420,2552,11904
"2399",31094,5444,544,2786
"2400",31095,5690,820,3723
"2401",31096,80672,9539,58684
"2402",31097,3684,592,3004
"2403",31098,15346,1665,10879
"2404",31099,4191,458,3460
"2405",31100,4049,497,3119
"2406",31101,69147,6038,56409
"2407",31102,85460,8745,70901
"2408",31103,3451,436,3447
"2409",31104,16350,1775,5919
"2410",31105,3293,399,3197
"2411",31106,2215,389,NA
"2412",32001,6260,1100,2608
"2413",32002,4942,776,NA
"2414",32003,2277,544,NA
"2415",32004,4493,697,2905
"2416",32005,45759,3864,44186
"2417",32006,8255,1262,6378
"2418",32007,12115,1911,6915
"2419",32008,13466,1542,9463
"2420",32009,10086,1755,3816
"2421",32010,240532,25529,174046
"2422",32011,3362,666,2721
"2423",32012,8168,1041,NA
"2424",32013,6644,779,4520
"2425",32014,20191,3137,5844
"2426",32015,1579,427,NA
"2427",32016,23526,2906,11223
"2428",32017,211740,17359,197346
"2429",32018,4547,952,NA
"2430",32019,25296,3810,15291
"2431",32020,59910,9957,46132
"2432",32021,4465,658,NA
"2433",32022,19749,2723,15045
"2434",32023,12251,2307,5836
"2435",32024,53709,5104,29251
"2436",32025,13184,1595,6983
"2437",32026,17774,2658,NA
"2438",32027,2736,365,NA
"2439",32028,2451,457,NA
"2440",32029,23713,2606,14815
"2441",32030,2446,532,NA
"2442",32031,8683,1895,4247
"2443",32032,13207,1494,11567
"2444",32033,4530,1032,NA
"2445",32034,27945,5261,16814
"2446",32035,16284,1859,2809
"2447",32036,44144,4795,22295
"2448",32037,17577,1807,8729
"2449",32038,72241,8766,8946
"2450",32039,64535,8177,40229
"2451",32040,21844,2805,5295
"2452",32041,2509,526,NA
"2453",32042,63665,8051,31849
"2454",32043,1365,276,NA
"2455",32044,16588,2398,8092
"2456",32045,8321,1490,4883
"2457",32046,6490,1634,NA
"2458",32047,5356,950,3461
"2459",32048,27302,3714,17882
"2460",32049,32461,5809,13577
"2461",32050,10276,1062,3621
"2462",32051,34623,4278,19639
"2463",32052,19525,2129,7011
"2464",32053,13208,1626,9209
"2465",32054,19446,2126,4851
"2466",32055,31558,5638,17551
"2467",32056,149607,18847,141197
"2468",32057,20455,1785,17021
"2469",32058,2767,530,NA
