"","clave_mun","POBTOT","P_60YMAS","pob_urb"
"1631",21052,1215,266,NA
"1632",21053,66464,6909,28871
"1633",21054,35223,2475,23198
"1634",21055,5082,912,NA
"1635",21056,1317,361,NA
"1636",21057,6687,829,NA
"1637",21058,21002,1950,8885
"1638",21059,2846,571,NA
"1639",21060,7982,727,6552
"1640",21061,14461,1316,NA
"1641",21062,4943,753,NA
"1642",21063,14766,1660,8445
"1643",21064,17824,2865,4324
"1644",21065,22694,1998,20392
"1645",21066,6451,1332,NA
"1646",21067,18784,1974,11835
"1647",21068,7011,1124,NA
"1648",21069,29233,4094,6968
"1649",21070,6111,1198,NA
"1650",21071,103946,11414,75404
"1651",21072,17082,2839,NA
"1652",21073,9760,1482,8808
"1653",21074,90794,7521,74787
"1654",21075,13080,1111,7037
"1655",21076,27600,3493,5900
"1656",21077,5951,758,NA
"1657",21078,15928,1387,7762
"1658",21079,5782,639,2907
"1659",21080,2633,530,NA
"1660",21081,4065,745,NA
"1661",21082,8804,1141,5202
"1662",21083,25319,3823,NA
"1663",21084,6950,983,3230
"1664",21085,82809,10961,70102
"1665",21086,12050,1661,NA
"1666",21087,13308,1866,7760
"1667",21088,4457,761,NA
"1668",21089,12131,1776,3030
"1669",21090,23783,2175,19222
"1670",21091,9828,1427,7838
"1671",21092,5293,800,NA
"1672",21093,7650,1229,NA
"1673",21094,37257,3731,18110
"1674",21095,650,71,NA
"1675",21096,3176,376,NA
"1676",21097,2668,315,NA
"1677",21098,6668,1011,NA
"1678",21099,20659,2241,8600
"1679",21100,9310,1296,NA
"1680",21101,3317,593,NA
"1681",21102,14075,1257,13243
"1682",21103,6644,650,4538
"1683",21104,32772,2460,23002
"1684",21105,5077,836,NA
"1685",21106,42669,3540,33365
"1686",21107,11993,1942,NA
"1687",21108,19903,1798,11276
"1688",21109,20274,2670,6909
"1689",21110,50226,4187,40895
"1690",21111,18528,3245,2968
"1691",21112,9350,1725,2700
"1692",21113,4627,1078,NA
"1693",21114,1692181,214902,1641278
"1694",21115,57992,4492,48706
"1695",21116,22855,2159,NA
"1696",21117,15952,1488,15952
"1697",21118,30021,2470,27399
"1698",21119,154448,15372,152465
"1699",21120,5938,537,2638
"1700",21121,1270,191,NA
"1701",21122,11063,1243,10118
"1702",21123,3793,619,NA
"1703",21124,15954,1787,13687
"1704",21125,9671,1205,9125
"1705",21126,6597,678,2545
"1706",21127,3606,891,NA
"1707",21128,10443,977,6271
"1708",21129,14018,1694,8786
"1709",21130,3604,643,NA
"1710",21131,975,115,NA
"1711",21132,155738,16969,150271
"1712",21133,692,112,NA
"1713",21134,20974,2445,14716
"1714",21135,526,173,NA
"1715",21136,12461,1212,12060
"1716",21137,10464,929,6755
"1717",21138,11780,1620,9366
"1718",21139,3759,673,NA
"1719",21140,138433,16246,136779
"1720",21141,3488,696,NA
"1721",21142,30639,3163,25218
"1722",21143,34880,3194,32639
"1723",21144,16790,1338,14268
"1724",21145,13189,1655,NA
"1725",21146,749,182,NA
"1726",21147,6341,1166,4426
"1727",21148,11498,1065,6350
"1728",21149,30309,2230,24912
"1729",21150,6105,1030,NA
"1730",21151,9315,1000,9178
"1731",21152,12631,1705,6533
"1732",21153,23625,2416,13826
"1733",21154,80771,6648,62281
"1734",21155,6830,979,3706
"1735",21156,327312,31536,313867
"1736",21157,12672,2343,6644
"1737",21158,6743,1246,NA
"1738",21159,3836,1051,2751
"1739",21160,3689,598,NA
"1740",21161,22218,2019,18821
"1741",21162,4155,617,3298
"1742",21163,18854,1652,18374
"1743",21164,84270,7396,63030
"1744",21165,1216,166,NA
"1745",21166,8918,1350,5147
"1746",21167,10373,1280,NA
"1747",21168,7523,940,5519
"1748",21169,22331,2986,5703
"1749",21170,19200,2154,5561
"1750",21171,3851,408,2966
"1751",21172,27216,3589,5612
"1752",21173,6653,723,5156
"1753",21174,103583,11365,84220
"1754",21175,14432,1662,5782
"1755",21176,9664,1312,3048
"1756",21177,54757,4698,34453
"1757",21178,15977,2610,NA
"1758",21179,31639,3367,11555
"1759",21180,41547,4250,29576
"1760",21181,7425,728,7084
"1761",21182,5390,444,5164
"1762",21183,20433,2039,6209
"1763",21184,6422,801,NA
"1764",21185,10344,1273,3163
"1765",21186,55576,6516,21346
"1766",21187,4934,849,NA
"1767",21188,19315,2395,6943
"1768",21189,22454,2220,17344
"1769",21190,1187,299,NA
"1770",21191,9871,1676,6048
"1771",21192,5924,1006,NA
"1772",21193,6476,900,NA
"1773",21194,28395,3801,19416
"1774",21195,26559,2646,5868
"1775",21196,1570,353,NA
"1776",21197,80591,9145,51143
"1777",21198,1312,208,NA
"1778",21199,42943,3363,23970
"1779",21200,3443,628,NA
"1780",21201,3375,485,NA
"1781",21202,13025,1556,5721
"1782",21203,7178,797,5975
"1783",21204,7926,895,3968
"1784",21205,26392,2108,19705
"1785",21206,4647,720,NA
"1786",21207,57887,6269,32829
"1787",21208,87361,9584,50644
"1788",21209,8595,1274,3215
"1789",21210,5675,858,NA
